DT_acceleration,Timestamp,Action,Bump,Traffic congestion
0.0,1569294764338.0,0,0,0
0.0,1569294764793.0,0,0,0
0.0,1569294765252.0,0,0,0
0.0,1569294765713.0,0,0,0
0.0,1569294766173.0,0,0,0
0.0,1569294766632.0,0,0,0
0.0,1569294767093.0,0,0,0
0.0,1569294767553.0,0,0,0
0.0,1569294768023.0,0,0,0
0.0,1569294768483.0,0,0,0
0.0,1569294768984.0,0,0,0
0.0,1569294769403.0,0,0,0
0.546,1569294769863.0,3,0,0
0.577,1569294770323.0,3,0,0
0.47400000000000003,1569294770783.0,3,0,0
0.267,1569294771253.0,3,0,0
0.075,1569294771713.0,3,0,0
-0.013000000000000001,1569294772183.0,3,0,0
-0.078,1569294772643.0,3,0,0
-0.183,1569294773103.0,3,0,0
-0.129,1569294773563.0,3,0,0
0.015,1569294774023.0,3,0,0
0.0,1569294774483.0,3,0,0
0.067,1569294774953.0,3,0,0
0.19,1569294775413.0,3,0,0
0.179,1569294775873.0,2,0,0
0.149,1569294776388.0,2,0,0
0.167,1569294776803.0,2,0,0
0.155,1569294777263.0,2,0,0
0.121,1569294777725.0,2,0,0
0.088,1569294778192.0,2,0,0
0.077,1569294778653.0,2,0,0
0.062,1569294779114.0,2,0,0
0.08,1569294779573.0,2,0,0
0.08600000000000001,1569294780043.0,2,0,0
0.078,1569294780493.0,2,0,0
0.056,1569294780954.0,2,0,0
0.031,1569294781423.0,2,0,0
0.061,1569294781882.0,2,0,0
0.17200000000000001,1569294782345.0,2,0,0
0.252,1569294782803.0,2,0,0
0.256,1569294783253.0,2,0,0
0.226,1569294783713.0,2,0,0
0.201,1569294784173.0,2,0,0
0.158,1569294784642.0,2,0,0
0.154,1569294785103.0,2,0,0
0.113,1569294785563.0,-1,0,0
0.101,1569294786023.0,-1,0,0
0.084,1569294786483.0,-1,0,0
0.066,1569294786953.0,-1,0,0
0.017,1569294787402.0,-1,0,0
-0.011,1569294787873.0,-1,0,0
-0.011,1569294788348.0,-1,0,0
-0.059000000000000004,1569294788803.0,-1,0,0
-0.091,1569294789253.0,-1,0,0
-0.123,1569294789713.0,-1,0,0
-0.153,1569294790173.0,-1,0,0
-0.8300000000000001,1569294790634.0,2,0,0
-0.591,1569294791103.0,2,0,0
-0.223,1569294791563.0,2,0,0
0.10200000000000001,1569294792024.0,2,0,0
0.17500000000000002,1569294792483.0,2,0,0
0.105,1569294792943.0,2,0,0
