DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
2.88,1569294764314.0,0,0,0
2.88,1569294764773.0,0,0,0
2.91,1569294765233.0,0,0,0
2.91,1569294765692.0,0,0,0
2.91,1569294766153.0,0,0,0
2.91,1569294766613.0,0,0,0
2.97,1569294767074.0,0,0,0
2.97,1569294767533.0,0,0,0
2.94,1569294767993.0,0,0,0
2.94,1569294768463.0,0,0,0
0.0,1569294768923.0,0,0,0
-0.03,1569294769383.0,0,0,0
0.06,1569294769842.0,3,0,0
0.06,1569294770303.0,3,0,0
0.18,1569294770763.0,3,0,0
0.33,1569294771223.0,3,0,0
0.36,1569294771693.0,3,0,0
0.33,1569294772164.0,3,0,0
0.54,1569294772623.0,3,0,0
0.51,1569294773083.0,3,0,0
0.3,1569294773542.0,3,0,0
0.33,1569294774003.0,3,0,0
0.33,1569294774463.0,3,0,0
0.06,1569294774934.0,3,0,0
0.09,1569294775393.0,3,0,0
0.09,1569294775853.0,2,0,0
0.12,1569294776313.0,2,0,0
0.09,1569294776783.0,2,0,0
0.09,1569294777243.0,2,0,0
0.03,1569294777703.0,2,0,0
-0.03,1569294778163.0,2,0,0
-0.03,1569294778633.0,2,0,0
-0.03,1569294779093.0,2,0,0
-0.03,1569294779558.0,2,0,0
-0.03,1569294780023.0,2,0,0
-0.03,1569294780473.0,2,0,0
-0.03,1569294780933.0,2,0,0
-0.03,1569294781403.0,2,0,0
-0.03,1569294781863.0,2,0,0
-0.03,1569294782323.0,2,0,0
-0.03,1569294782773.0,2,0,0
-0.03,1569294783232.0,2,0,0
-0.03,1569294783693.0,2,0,0
-0.03,1569294784153.0,2,0,0
-0.03,1569294784623.0,2,0,0
-0.03,1569294785083.0,2,0,0
-0.03,1569294785544.0,-1,0,0
-0.03,1569294786003.0,-1,0,0
-0.03,1569294786463.0,-1,0,0
-0.03,1569294786952.0,-1,0,0
-0.03,1569294787382.0,-1,0,0
-0.03,1569294787842.0,-1,0,0
-0.03,1569294788325.0,-1,0,0
-0.03,1569294788773.0,-1,0,0
0.03,1569294789233.0,-1,0,0
0.09,1569294789693.0,-1,0,0
0.36,1569294790153.0,-1,0,0
0.63,1569294790613.0,2,0,0
0.33,1569294791083.0,2,0,0
0.03,1569294791542.0,2,0,0
0.06,1569294792003.0,2,0,0
0.09,1569294792463.0,2,0,0
0.18,1569294792923.0,2,0,0
0.21,1569294793383.0,2,0,0
0.27,1569294793842.0,2,0,0
0.27,1569294794313.0,2,0,0
0.33,1569294794773.0,2,0,0
0.33,1569294795233.0,2,0,0
0.42,1569294795693.0,2,0,0
0.6900000000000001,1569294796162.0,2,0,0
0.72,1569294796623.0,2,0,0
0.81,1569294797083.0,2,0,0
0.6900000000000001,1569294797563.0,2,0,0
0.09,1569294798012.0,2,0,0
0.03,1569294798473.0,2,0,0
0.09,1569294798935.0,2,0,0
0.51,1569294799393.0,2,0,0
1.23,1569294799852.0,2,0,0
1.23,1569294800312.0,2,0,0
1.26,1569294800773.0,0,0,0
1.26,1569294801233.0,0,0,0
1.29,1569294801692.0,0,0,0
1.32,1569294802152.0,0,0,0
1.35,1569294802612.0,0,0,0
1.3800000000000001,1569294803073.0,0,0,0
1.3800000000000001,1569294803533.0,0,0,0
1.41,1569294803992.0,0,0,0
1.41,1569294804453.0,0,0,0
1.41,1569294804972.0,0,0,0
1.3800000000000001,1569294805362.0,0,0,0
1.3800000000000001,1569294805823.0,0,0,0
1.3800000000000001,1569294806292.0,0,0,0
1.3800000000000001,1569294806752.0,0,0,0
1.3800000000000001,1569294807225.0,0,0,0
1.3800000000000001,1569294807672.0,0,0,0
1.3800000000000001,1569294808143.0,0,0,0
1.3800000000000001,1569294808592.0,0,0,0
1.3800000000000001,1569294809063.0,0,0,0
1.3800000000000001,1569294809513.0,0,0,0
1.23,1569294809973.0,0,0,0
0.0,1569294810443.0,0,0,0
-0.03,1569294810902.0,0,0,0
-0.03,1569294811368.0,-1,0,0
-0.03,1569294811822.0,-1,0,0
