DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
716.0,1569320086280.0,0,0,0
744.0,1569320086739.0,0,0,0
713.5,1569320087200.0,0,0,0
705.5,1569320087660.0,10,0,0
707.0,1569320088121.0,10,0,0
696.0,1569320088570.0,10,0,0
703.5,1569320089030.0,10,0,0
706.5,1569320089490.0,10,0,0
705.0,1569320089950.0,10,0,0
728.5,1569320090410.0,10,0,0
740.5,1569320090870.0,10,0,0
750.5,1569320091329.0,10,0,0
755.5,1569320091790.0,10,0,0
744.0,1569320092250.0,10,0,0
748.0,1569320092710.0,10,0,0
768.0,1569320093213.0,10,0,0
778.5,1569320093631.0,10,0,0
775.0,1569320094090.0,10,0,0
781.5,1569320094550.0,10,0,0
799.5,1569320095010.0,10,0,0
808.0,1569320095470.0,10,0,0
814.0,1569320095930.0,10,0,0
823.0,1569320096390.0,10,0,0
884.5,1569320096850.0,10,0,0
788.0,1569320097310.0,3,0,0
744.0,1569320097780.0,3,0,0
748.5,1569320098230.0,3,0,0
741.0,1569320098690.0,3,0,0
743.0,1569320099153.0,3,0,0
1155.5,1569320099616.0,3,0,0
1299.5,1569320100070.0,3,0,0
1362.5,1569320100530.0,3,0,0
1468.5,1569320100990.0,3,0,0
1560.5,1569320101460.0,3,0,0
1658.5,1569320101920.0,3,0,0
1829.5,1569320102379.0,3,0,0
1948.5,1569320102839.0,3,0,0
2035.5,1569320103300.0,1,0,0
1888.5,1569320103781.0,1,0,0
1724.5,1569320104220.0,1,0,0
1444.0,1569320104680.0,1,0,0
1292.0,1569320105140.0,1,0,0
1280.5,1569320105600.0,2,0,0
1222.0,1569320106062.0,2,0,0
1110.0,1569320106520.0,2,0,0
1192.5,1569320106980.0,2,0,0
1213.5,1569320107440.0,2,0,0
1194.0,1569320107900.0,2,0,0
1168.5,1569320108370.0,2,0,0
1157.0,1569320108830.0,2,0,0
1157.0,1569320109290.0,2,0,0
1173.0,1569320109750.0,2,0,0
1212.0,1569320110210.0,2,0,0
1232.5,1569320110669.0,1,1,0
1245.5,1569320111130.0,1,1,0
1258.0,1569320111590.0,1,1,0
1267.5,1569320112060.0,1,1,0
1277.0,1569320112520.0,1,1,0
1296.0,1569320112980.0,1,1,0
1307.0,1569320113450.0,1,1,0
1257.0,1569320113910.0,1,1,0
