DT_lateralAcc,Timestamp,Action,Bump,Traffic congestion
0.0,1569376858789.0,1,0,0
0.0,1569376859248.0,1,0,0
0.0,1569376859710.0,1,0,0
0.0,1569376860179.0,1,0,0
-0.01,1569376860638.0,1,0,0
0.0,1569376861099.0,1,0,0
-0.01,1569376861559.0,1,0,0
-0.01,1569376862018.0,1,0,0
-0.01,1569376862470.0,1,0,0
-0.01,1569376862938.0,1,0,0
0.0,1569376863402.0,1,0,0
-0.02,1569376863859.0,1,0,0
-0.02,1569376864319.0,1,0,0
-0.02,1569376864778.0,5,0,0
-0.03,1569376865239.0,5,0,0
-0.02,1569376865708.0,5,0,0
-0.02,1569376866169.0,5,0,0
-0.01,1569376866630.0,5,0,0
-0.01,1569376867079.0,5,0,0
0.0,1569376867549.0,5,0,0
0.0,1569376868008.0,5,0,0
-0.01,1569376868469.0,5,0,0
0.0,1569376868930.0,5,0,0
0.02,1569376869389.0,5,0,0
0.01,1569376869848.0,5,0,0
0.0,1569376870319.0,5,0,0
0.01,1569376870769.0,1,0,0
0.0,1569376871239.0,1,0,0
0.0,1569376871698.0,1,0,0
0.0,1569376872159.0,1,0,0
0.0,1569376872628.0,1,0,0
0.0,1569376873089.0,1,0,0
0.0,1569376873559.0,1,0,0
0.0,1569376874009.0,1,0,0
0.0,1569376874469.0,1,0,0
-0.01,1569376874919.0,1,0,0
-0.01,1569376875389.0,1,0,0
-0.01,1569376875849.0,1,0,0
-0.02,1569376876309.0,1,0,0
-0.03,1569376876769.0,1,0,0
-0.04,1569376877229.0,9,0,0
-0.04,1569376877679.0,9,0,0
-0.04,1569376878139.0,9,0,0
-0.07,1569376878599.0,9,0,0
-0.13,1569376879069.0,9,0,0
-0.16,1569376879529.0,9,0,0
-0.15,1569376879989.0,9,0,0
-0.17,1569376880458.0,9,0,0
-0.11,1569376880919.0,9,0,0
-0.12,1569376881379.0,9,0,0
-0.11,1569376881838.0,9,0,0
-0.08,1569376882298.0,9,0,0
-0.09,1569376882759.0,9,0,0
-0.12,1569376883233.0,9,0,0
-0.13,1569376883678.0,9,0,0
-0.11,1569376884140.0,9,0,0
-0.11,1569376884609.0,9,0,0
-0.13,1569376885068.0,9,0,0
-0.12,1569376885538.0,9,0,0
-0.14,1569376885998.0,9,0,0
-0.11,1569376886459.0,9,0,0
-0.13,1569376886919.0,9,0,0
-0.13,1569376887379.0,9,0,0
-0.15,1569376887838.0,9,0,0
-0.13,1569376888309.0,9,0,0
-0.16,1569376888758.0,9,0,0
-0.13,1569376889218.0,9,0,0
-0.15,1569376889689.0,9,0,0
-0.15,1569376890139.0,9,0,0
-0.15,1569376890608.0,9,0,0
-0.12,1569376891070.0,9,0,0
-0.12,1569376891529.0,9,0,0
-0.13,1569376891989.0,9,0,0
-0.14,1569376892459.0,9,0,0
-0.09,1569376892919.0,9,0,0
-0.11,1569376893379.0,9,0,0
-0.11,1569376893839.0,9,0,0
-0.12,1569376894298.0,9,0,0
-0.12,1569376894748.0,9,0,0
-0.13,1569376895208.0,9,0,0
-0.12,1569376895679.0,9,0,0
-0.12,1569376896139.0,9,0,0
-0.08,1569376896608.0,9,0,0
-0.01,1569376897059.0,9,0,0
0.02,1569376897529.0,9,0,0
0.04,1569376897989.0,4,0,1
0.02,1569376898451.0,4,0,1
0.01,1569376898909.0,4,0,1
0.0,1569376899369.0,4,0,1
-0.05,1569376899829.0,4,0,1
-0.07,1569376900290.0,4,0,1
-0.06,1569376900749.0,4,0,1
-0.08,1569376901228.0,4,0,1
-0.06,1569376901669.0,4,0,1
-0.05,1569376902131.0,4,0,1
-0.04,1569376902580.0,4,0,1
0.0,1569376903049.0,4,0,1
-0.02,1569376903509.0,4,0,1
0.0,1569376903969.0,4,0,1
0.01,1569376904429.0,4,0,1
0.0,1569376904882.0,4,0,1
0.01,1569376905349.0,4,0,1
0.01,1569376905809.0,3,0,1
0.0,1569376906270.0,3,0,1
0.01,1569376906729.0,3,0,1
0.02,1569376907190.0,3,0,1
0.0,1569376907659.0,3,0,1
0.01,1569376908120.0,3,0,1
0.02,1569376908580.0,3,0,1
0.01,1569376909039.0,3,0,1
0.01,1569376909500.0,3,0,1
0.01,1569376909971.0,3,0,1
0.01,1569376910428.0,3,0,1
0.02,1569376910880.0,3,0,1
0.03,1569376911339.0,3,0,1
0.01,1569376911809.0,3,0,1
0.02,1569376912259.0,3,0,1
0.02,1569376912718.0,3,0,1
0.02,1569376913180.0,3,0,1
0.01,1569376913659.0,3,0,1
0.02,1569376914120.0,3,0,1
0.02,1569376914580.0,3,0,1
0.03,1569376915039.0,3,0,1
0.03,1569376915500.0,3,0,1
0.02,1569376915970.0,3,0,1
0.03,1569376916430.0,3,0,1
0.03,1569376916889.0,3,0,1
0.02,1569376917349.0,0,0,0
0.02,1569376917810.0,0,0,0
0.03,1569376918270.0,0,0,0
0.02,1569376918730.0,0,0,0
0.02,1569376919190.0,0,0,0
0.03,1569376919649.0,0,0,0
0.02,1569376920110.0,0,0,0
0.02,1569376920580.0,0,0,0
0.02,1569376921040.0,3,0,0
0.02,1569376921499.0,3,0,0
0.02,1569376921960.0,3,0,0
0.02,1569376922420.0,3,0,0
0.03,1569376922880.0,3,0,0
0.01,1569376923340.0,3,0,0
0.01,1569376923800.0,3,0,0
0.0,1569376924260.0,3,0,0
0.01,1569376924720.0,3,0,0
0.01,1569376925180.0,3,0,0
-0.01,1569376925650.0,3,0,0
0.01,1569376926099.0,3,0,0
0.0,1569376926560.0,3,0,0
-0.02,1569376927020.0,3,0,0
-0.03,1569376927480.0,3,0,0
0.0,1569376927939.0,3,0,0
-0.02,1569376928401.0,3,0,0
0.0,1569376928870.0,3,0,0
-0.01,1569376929330.0,3,0,0
-0.01,1569376929790.0,3,0,0
0.0,1569376930250.0,1,0,1
0.01,1569376930710.0,1,0,1
0.01,1569376931180.0,1,0,1
-0.01,1569376931640.0,1,0,1
-0.01,1569376932090.0,1,0,1
0.0,1569376932550.0,1,0,1
-0.02,1569376933020.0,1,0,1
0.0,1569376933490.0,1,0,1
0.0,1569376933950.0,1,0,1
-0.01,1569376934400.0,1,0,1
-0.01,1569376934860.0,1,0,1
0.0,1569376935320.0,4,0,1
0.0,1569376935790.0,4,0,1
0.0,1569376936240.0,4,0,1
0.0,1569376936700.0,4,0,1
0.0,1569376937160.0,4,0,1
0.01,1569376937620.0,4,0,1
0.0,1569376938080.0,4,0,1
0.03,1569376938540.0,4,0,1
-0.03,1569376939000.0,4,0,1
-0.01,1569376939460.0,4,0,1
0.0,1569376939920.0,4,0,1
0.0,1569376940380.0,4,0,1
0.01,1569376940850.0,4,0,1
0.01,1569376941310.0,4,0,1
0.0,1569376941770.0,4,0,1
-0.02,1569376942230.0,4,0,1
0.0,1569376942700.0,4,0,1
-0.01,1569376943160.0,4,0,1
-0.01,1569376943620.0,4,0,1
0.0,1569376944080.0,4,0,1
-0.02,1569376944540.0,4,0,1
-0.02,1569376945000.0,4,0,1
0.0,1569376945465.0,1,0,0
0.0,1569376945921.0,1,0,0
-0.01,1569376946380.0,1,0,0
-0.01,1569376946840.0,1,0,0
0.0,1569376947300.0,1,0,0
-0.01,1569376947760.0,1,0,0
0.0,1569376948220.0,1,0,0
0.0,1569376948680.0,1,0,0
0.0,1569376949140.0,1,0,0
0.0,1569376949600.0,1,0,0
0.0,1569376950059.0,1,0,0
0.0,1569376950520.0,1,0,0
0.0,1569376950980.0,1,0,0
0.0,1569376951440.0,1,0,0
0.0,1569376951900.0,1,0,0
0.0,1569376952360.0,1,0,0
0.0,1569376952820.0,1,0,0
0.0,1569376953290.0,1,0,0
-0.01,1569376953750.0,1,0,0
0.0,1569376954220.0,1,0,0
0.02,1569376954680.0,1,0,0
0.02,1569376955140.0,1,0,0
-0.01,1569376955600.0,1,0,0
0.02,1569376956060.0,1,0,0
0.0,1569376956520.0,1,0,0
0.0,1569376956980.0,1,0,0
0.01,1569376957440.0,1,0,0
0.0,1569376957900.0,1,0,0
0.0,1569376958370.0,1,0,0
0.0,1569376958830.0,1,0,0
0.0,1569376959290.0,1,0,0
0.01,1569376959750.0,1,0,0
0.0,1569376960210.0,-1,0,1
0.0,1569376960670.0,-1,0,1
0.02,1569376961140.0,-1,0,1
-0.03,1569376961605.0,-1,0,1
-0.01,1569376962060.0,-1,0,1
-0.01,1569376962520.0,-1,0,1
0.0,1569376962980.0,-1,0,1
0.0,1569376963468.0,-1,0,1
-0.03,1569376963910.0,-1,0,1
0.0,1569376964370.0,-1,0,1
-0.01,1569376964830.0,-1,0,1
-0.01,1569376965290.0,-1,0,1
0.0,1569376965750.0,-1,0,1
0.01,1569376966210.0,-1,0,1
0.01,1569376966680.0,-1,0,1
0.01,1569376967140.0,-1,0,1
0.02,1569376967600.0,-1,0,1
0.0,1569376968060.0,-1,0,1
0.0,1569376968520.0,-1,0,1
0.0,1569376968985.0,-1,0,1
0.0,1569376969440.0,-1,0,1
-0.01,1569376969910.0,-1,0,1
0.01,1569376970370.0,1,0,0
0.0,1569376970830.0,1,0,0
0.01,1569376971290.0,1,0,0
0.02,1569376971760.0,1,0,0
0.0,1569376972209.0,1,0,0
0.02,1569376972670.0,1,0,0
0.0,1569376973140.0,1,0,0
0.0,1569376973610.0,1,0,0
0.01,1569376974070.0,1,0,0
0.01,1569376974530.0,1,0,0
-0.01,1569376974990.0,1,0,0
0.02,1569376975450.0,1,0,0
0.0,1569376975910.0,1,0,0
0.0,1569376976380.0,1,0,0
-0.01,1569376976830.0,1,0,0
-0.01,1569376977299.0,1,0,0
-0.01,1569376977761.0,1,0,0
-0.01,1569376978230.0,1,0,0
0.02,1569376978690.0,1,0,0
0.01,1569376979150.0,1,0,0
0.0,1569376979610.0,1,0,0
0.0,1569376980070.0,1,0,0
0.0,1569376980540.0,1,0,0
0.0,1569376980990.0,1,0,0
0.0,1569376981453.0,1,0,0
0.0,1569376981910.0,1,0,0
0.0,1569376982370.0,1,0,0
0.0,1569376982840.0,1,0,0
0.0,1569376983300.0,1,0,0
0.0,1569376983749.0,1,0,0
-0.01,1569376984210.0,1,0,0
-0.01,1569376984680.0,1,0,0
-0.01,1569376985140.0,1,0,0
-0.02,1569376985600.0,1,0,0
0.0,1569376986060.0,1,0,0
0.0,1569376986520.0,1,0,0
