DT_verticalAcc,Timestamp,Action,Bump,Traffic congestion
-0.078,1569376858810.0,1,0,0
-0.088,1569376859269.0,1,0,0
-0.096,1569376859729.0,1,0,0
-0.09,1569376860199.0,1,0,0
-0.078,1569376860659.0,1,0,0
-0.074,1569376861119.0,1,0,0
-0.066,1569376861578.0,1,0,0
-0.056,1569376862040.0,1,0,0
-0.058,1569376862499.0,1,0,0
-0.066,1569376862959.0,1,0,0
-0.066,1569376863418.0,1,0,0
-0.074,1569376863882.0,1,0,0
-0.08600000000000001,1569376864339.0,1,0,0
-0.08600000000000001,1569376864798.0,5,0,0
-0.046,1569376865292.0,5,0,0
0.184,1569376865728.0,5,0,0
0.342,1569376866189.0,5,0,0
0.388,1569376866649.0,5,0,0
0.404,1569376867109.0,5,0,0
0.382,1569376867569.0,5,0,0
0.37,1569376868029.0,5,0,0
0.34800000000000003,1569376868489.0,5,0,0
0.338,1569376868949.0,5,0,0
0.338,1569376869409.0,5,0,0
0.188,1569376869869.0,5,0,0
-0.05,1569376870339.0,5,0,0
-0.168,1569376870800.0,1,0,0
-0.194,1569376871259.0,1,0,0
-0.2,1569376871719.0,1,0,0
-0.31,1569376872179.0,1,0,0
-0.446,1569376872649.0,1,0,0
-0.518,1569376873109.0,1,0,0
-0.554,1569376873579.0,1,0,0
-0.5660000000000001,1569376874029.0,1,0,0
-0.5700000000000001,1569376874938.0,1,0,0
-0.5760000000000001,1569376875409.0,1,0,0
-0.5660000000000001,1569376875869.0,1,0,0
-0.7000000000000001,1569376876329.0,1,0,0
-0.8240000000000001,1569376876789.0,1,0,0
-0.602,1569376877248.0,9,0,0
-0.37,1569376877709.0,9,0,0
-0.20600000000000002,1569376878161.0,9,0,0
-0.112,1569376878630.0,9,0,0
-0.194,1569376879089.0,9,0,0
-0.298,1569376879548.0,9,0,0
-0.364,1569376880052.0,9,0,0
-0.26,1569376880479.0,9,0,0
-0.024,1569376880941.0,9,0,0
0.222,1569376881399.0,9,0,0
0.308,1569376881859.0,9,0,0
0.38,1569376882319.0,9,0,0
0.454,1569376882779.0,9,0,0
0.42,1569376883249.0,9,0,0
0.532,1569376883699.0,9,0,0
0.65,1569376884169.0,9,0,0
0.704,1569376884629.0,9,0,0
0.74,1569376885089.0,9,0,0
0.736,1569376885559.0,9,0,0
0.752,1569376886018.0,9,0,0
0.756,1569376886479.0,9,0,0
0.768,1569376886938.0,9,0,0
0.782,1569376887399.0,9,0,0
0.77,1569376887860.0,9,0,0
0.728,1569376888329.0,9,0,0
0.648,1569376888778.0,9,0,0
0.482,1569376889248.0,9,0,0
0.40800000000000003,1569376889709.0,9,0,0
0.352,1569376890168.0,9,0,0
0.342,1569376890653.0,9,0,0
0.34800000000000003,1569376891088.0,9,0,0
0.366,1569376891548.0,9,0,0
0.382,1569376892008.0,9,0,0
0.38,1569376892478.0,9,0,0
0.38,1569376892939.0,9,0,0
0.42,1569376893399.0,9,0,0
0.41400000000000003,1569376893859.0,9,0,0
0.396,1569376894318.0,9,0,0
0.49,1569376894778.0,9,0,0
0.584,1569376895239.0,9,0,0
0.384,1569376895699.0,9,0,0
-0.664,1569376896158.0,9,0,0
-1.932,1569376896631.0,9,0,0
-2.404,1569376897090.0,9,0,0
-2.464,1569376897549.0,9,0,0
-1.542,1569376898050.0,4,0,1
-0.834,1569376898469.0,4,0,1
-0.518,1569376898929.0,4,0,1
-0.386,1569376899390.0,4,0,1
-0.184,1569376899850.0,4,0,1
0.106,1569376900308.0,4,0,1
0.2,1569376900770.0,4,0,1
0.214,1569376901229.0,4,0,1
0.234,1569376901690.0,4,0,1
0.316,1569376902149.0,4,0,1
0.338,1569376902609.0,4,0,1
0.328,1569376903069.0,4,0,1
0.354,1569376903529.0,4,0,1
0.20400000000000001,1569376903990.0,4,0,1
0.002,1569376904449.0,4,0,1
-0.31,1569376904909.0,4,0,1
-0.89,1569376905369.0,4,0,1
-1.3980000000000001,1569376905829.0,3,0,1
-1.052,1569376906299.0,3,0,1
-0.586,1569376906749.0,3,0,1
-0.398,1569376907219.0,3,0,1
-0.386,1569376907680.0,3,0,1
-0.248,1569376908140.0,3,0,1
0.058,1569376908638.0,3,0,1
0.358,1569376909059.0,3,0,1
0.88,1569376909530.0,3,0,1
1.42,1569376909990.0,3,0,1
1.054,1569376910450.0,3,0,1
0.518,1569376910910.0,3,0,1
0.262,1569376911369.0,3,0,1
0.152,1569376911829.0,3,0,1
0.096,1569376912289.0,3,0,1
0.098,1569376912751.0,3,0,1
0.198,1569376913213.0,3,0,1
0.848,1569376913679.0,3,0,1
1.262,1569376914140.0,3,0,1
0.868,1569376914599.0,3,0,1
0.34600000000000003,1569376915060.0,3,0,1
-0.606,1569376915530.0,3,0,1
-1.228,1569376915989.0,3,0,1
-0.716,1569376916450.0,3,0,1
-0.912,1569376916909.0,3,0,1
-0.512,1569376917369.0,0,0,0
0.152,1569376917830.0,0,0,0
0.354,1569376918289.0,0,0,0
0.47000000000000003,1569376918750.0,0,0,0
0.518,1569376919259.0,0,0,0
0.74,1569376919669.0,0,0,0
0.918,1569376920131.0,0,0,0
1.09,1569376920600.0,0,0,0
1.154,1569376921060.0,3,0,0
1.728,1569376921520.0,3,0,0
2.416,1569376921980.0,3,0,0
2.376,1569376922447.0,3,0,0
2.044,1569376922900.0,3,0,0
1.708,1569376923360.0,3,0,0
1.478,1569376923822.0,3,0,0
1.3880000000000001,1569376924280.0,3,0,0
1.408,1569376924750.0,3,0,0
1.434,1569376925210.0,3,0,0
1.462,1569376925670.0,3,0,0
1.422,1569376926130.0,3,0,0
1.34,1569376926580.0,3,0,0
1.326,1569376927040.0,3,0,0
1.446,1569376927500.0,3,0,0
1.012,1569376927960.0,3,0,0
0.534,1569376928430.0,3,0,0
0.268,1569376928890.0,3,0,0
0.156,1569376929350.0,3,0,0
0.036000000000000004,1569376929828.0,3,0,0
0.002,1569376930270.0,1,0,1
-0.002,1569376930740.0,1,0,1
0.0,1569376931200.0,1,0,1
0.002,1569376931660.0,1,0,1
0.0,1569376932120.0,1,0,1
0.02,1569376932580.0,1,0,1
0.28400000000000003,1569376933040.0,1,0,1
0.332,1569376933510.0,1,0,1
0.186,1569376933970.0,1,0,1
0.2,1569376934420.0,1,0,1
0.9560000000000001,1569376934880.0,1,0,1
1.6360000000000001,1569376935350.0,4,0,1
1.9120000000000001,1569376935810.0,4,0,1
1.1,1569376936270.0,4,0,1
0.524,1569376936720.0,4,0,1
0.37,1569376937180.0,4,0,1
0.79,1569376937650.0,4,0,1
1.098,1569376938110.0,4,0,1
0.884,1569376938560.0,4,0,1
0.41600000000000004,1569376939020.0,4,0,1
0.158,1569376939490.0,4,0,1
0.03,1569376939940.0,4,0,1
-0.058,1569376940438.0,4,0,1
-0.056,1569376940870.0,4,0,1
-0.064,1569376941330.0,4,0,1
-0.05,1569376941789.0,4,0,1
-0.038,1569376942250.0,4,0,1
-0.018000000000000002,1569376942720.0,4,0,1
-0.022,1569376943180.0,4,0,1
-0.018000000000000002,1569376943640.0,4,0,1
0.06,1569376944100.0,4,0,1
1.482,1569376944560.0,4,0,1
2.076,1569376945020.0,4,0,1
1.75,1569376945480.0,1,0,0
0.968,1569376945940.0,1,0,0
0.58,1569376946400.0,1,0,0
0.486,1569376946860.0,1,0,0
0.506,1569376947320.0,1,0,0
0.496,1569376947780.0,1,0,0
0.49,1569376948240.0,1,0,0
0.47800000000000004,1569376948700.0,1,0,0
0.464,1569376949160.0,1,0,0
0.464,1569376949620.0,1,0,0
0.432,1569376950080.0,1,0,0
0.46,1569376950540.0,1,0,0
0.456,1569376951029.0,1,0,0
0.38,1569376951470.0,1,0,0
0.232,1569376951920.0,1,0,0
0.116,1569376952380.0,1,0,0
0.05,1569376952840.0,1,0,0
-0.054,1569376953310.0,1,0,0
-0.154,1569376953770.0,1,0,0
-0.15,1569376954240.0,1,0,0
-0.11,1569376954700.0,1,0,0
-0.076,1569376955160.0,1,0,0
-0.062,1569376955620.0,1,0,0
-0.058,1569376956080.0,1,0,0
-0.122,1569376956540.0,1,0,0
-0.53,1569376957000.0,1,0,0
-0.718,1569376957472.0,1,0,0
-0.482,1569376957930.0,1,0,0
-0.41600000000000004,1569376958390.0,1,0,0
-0.534,1569376958850.0,1,0,0
-0.608,1569376959320.0,1,0,0
-0.592,1569376959770.0,1,0,0
-0.444,1569376960230.0,-1,0,1
-0.422,1569376960700.0,-1,0,1
-0.526,1569376961160.0,-1,0,1
-0.418,1569376961620.0,-1,0,1
-0.656,1569376962080.0,-1,0,1
-1.514,1569376962550.0,-1,0,1
-1.6320000000000001,1569376963010.0,-1,0,1
-1.6580000000000001,1569376963471.0,-1,0,1
-2.076,1569376963930.0,-1,0,1
-1.788,1569376964393.0,-1,0,1
-0.876,1569376964860.0,-1,0,1
-0.394,1569376965320.0,-1,0,1
-0.18,1569376965780.0,-1,0,1
-0.10200000000000001,1569376966240.0,-1,0,1
-0.058,1569376966702.0,-1,0,1
-0.032,1569376967160.0,-1,0,1
-0.046,1569376967620.0,-1,0,1
-0.036000000000000004,1569376968080.0,-1,0,1
0.396,1569376968540.0,-1,0,1
1.086,1569376969000.0,-1,0,1
1.4060000000000001,1569376969470.0,-1,0,1
0.92,1569376969930.0,-1,0,1
-0.182,1569376970390.0,1,0,0
-0.36,1569376970850.0,1,0,0
-0.194,1569376971320.0,1,0,0
-0.108,1569376971780.0,1,0,0
-0.198,1569376972240.0,1,0,0
-0.64,1569376972690.0,1,0,0
-0.752,1569376973160.0,1,0,0
-1.04,1569376973630.0,1,0,0
-0.558,1569376974090.0,1,0,0
-0.494,1569376974550.0,1,0,0
-0.624,1569376975010.0,1,0,0
-0.484,1569376975469.0,1,0,0
-0.266,1569376975940.0,1,0,0
-0.12,1569376976441.0,1,0,0
0.212,1569376976860.0,1,0,0
1.352,1569376977330.0,1,0,0
2.12,1569376977790.0,1,0,0
2.496,1569376978250.0,1,0,0
2.446,1569376978710.0,1,0,0
1.674,1569376979170.0,1,0,0
1.004,1569376979630.0,1,0,0
0.6880000000000001,1569376980090.0,1,0,0
0.6,1569376980560.0,1,0,0
0.5740000000000001,1569376981010.0,1,0,0
0.334,1569376981479.0,1,0,0
0.038,1569376981930.0,1,0,0
-0.226,1569376982403.0,1,0,0
-0.458,1569376982860.0,1,0,0
-0.602,1569376983320.0,1,0,0
-0.67,1569376983797.0,1,0,0
-0.648,1569376984240.0,1,0,0
-0.654,1569376984700.0,1,0,0
-0.65,1569376985160.0,1,0,0
-0.638,1569376985630.0,1,0,0
-0.638,1569376986079.0,1,0,0
-0.65,1569376986540.0,1,0,0
-0.672,1569376987000.0,1,0,0
-0.72,1569376987466.0,1,0,0
-0.78,1569376987920.0,1,0,0
-0.788,1569376988380.0,1,0,0
-0.854,1569376988850.0,1,0,0
-0.73,1569376989310.0,1,0,0
-0.664,1569376989770.0,1,0,0
-0.63,1569376990220.0,1,0,0
-0.63,1569376990680.0,1,0,0
-0.614,1569376991182.0,1,0,0
-0.592,1569376991610.0,1,0,0
-0.594,1569376992070.0,1,0,0
-0.43,1569376992520.0,1,0,0
-0.178,1569376992980.0,4,0,0
-0.17200000000000001,1569376993453.0,4,0,0
-0.28400000000000003,1569376993910.0,4,0,0
-0.43,1569376994411.0,4,0,0
-0.548,1569376994830.0,4,0,0
-0.62,1569376995281.0,4,0,0
-0.922,1569376995740.0,4,0,0
-1.342,1569376996200.0,4,0,0
-1.6420000000000001,1569376996660.0,4,0,0
-1.75,1569376997120.0,4,0,0
-1.366,1569376997590.0,4,0,0
-1.154,1569376998050.0,4,0,0
-0.986,1569376998510.0,4,0,0
-1.196,1569376998970.0,4,0,0
-0.992,1569376999430.0,4,0,0
-0.6940000000000001,1569376999890.0,4,0,0
-0.596,1569377000340.0,4,0,0
-1.364,1569377000800.0,4,0,0
-2.758,1569377001260.0,4,0,0
-3.888,1569377001720.0,4,0,0
-3.484,1569377002180.0,4,0,0
-1.616,1569377002640.0,4,0,0
-0.6900000000000001,1569377003100.0,4,0,0
-0.298,1569377003560.0,4,0,0
-0.148,1569377004020.0,1,0,0
-0.076,1569377004479.0,1,0,0
-0.042,1569377004946.0,1,0,0
-0.022,1569377005400.0,1,0,0
0.154,1569377005860.0,1,0,0
0.14200000000000002,1569377006320.0,1,0,0
0.046,1569377006790.0,1,0,0
-0.012,1569377007240.0,1,0,0
-0.08600000000000001,1569377007700.0,1,0,0
-0.44,1569377008159.0,1,0,0
-0.394,1569377008620.0,1,0,0
-0.59,1569377009089.0,1,0,0
-0.422,1569377009540.0,1,0,0
-0.2,1569377009999.0,1,0,0
-0.182,1569377010468.0,-1,0,0
-1.162,1569377010920.0,-1,0,0
-2.44,1569377011390.0,-1,0,0
-1.198,1569377011850.0,-1,0,0
-0.608,1569377012310.0,-1,0,0
-0.508,1569377012770.0,-1,0,0
-0.318,1569377013230.0,-1,0,0
-0.178,1569377013691.0,-1,0,0
-0.224,1569377014150.0,-1,0,0
-0.22,1569377014620.0,1,0,0
-0.14200000000000002,1569377015080.0,1,0,0
-0.09,1569377015543.0,1,0,0
-0.076,1569377016000.0,1,0,0
-0.066,1569377016470.0,1,0,0
-0.054,1569377016920.0,1,0,0
-0.036000000000000004,1569377017380.0,1,0,0
-0.048,1569377017850.0,1,0,0
-0.038,1569377018310.0,1,0,0
-0.042,1569377018770.0,1,0,0
0.116,1569377019229.0,1,0,0
0.262,1569377019690.0,1,0,0
0.188,1569377020149.0,1,0,0
-0.46,1569377020610.0,1,0,0
-2.678,1569377021072.0,1,0,0
-2.604,1569377021539.0,1,0,1
-1.97,1569377021999.0,1,0,1
-1.776,1569377022467.0,1,0,1
-2.0340000000000003,1569377022920.0,1,0,1
-2.04,1569377023369.0,1,0,1
