DT_acceleration,Timestamp,Action,Bump,Traffic congestion
-0.147,1569376858718.0,1,0,0
-0.154,1569376859179.0,1,0,0
-0.139,1569376859638.0,1,0,0
-0.135,1569376860110.0,1,0,0
-0.14300000000000002,1569376860568.0,1,0,0
-0.14,1569376861048.0,1,0,0
-0.148,1569376861488.0,1,0,0
-0.151,1569376861949.0,1,0,0
-0.106,1569376862409.0,1,0,0
-0.096,1569376862869.0,1,0,0
-0.097,1569376863329.0,1,0,0
-0.109,1569376863789.0,1,0,0
-0.11900000000000001,1569376864249.0,1,0,0
-0.124,1569376864720.0,5,0,0
-0.075,1569376865169.0,5,0,0
0.04,1569376865640.0,5,0,0
0.11800000000000001,1569376866098.0,5,0,0
0.134,1569376866559.0,5,0,0
0.148,1569376867019.0,5,0,0
0.129,1569376867479.0,5,0,0
0.11900000000000001,1569376867938.0,5,0,0
0.111,1569376868400.0,5,0,0
0.128,1569376868858.0,5,0,0
0.08700000000000001,1569376869319.0,5,0,0
-0.007,1569376869779.0,5,0,0
-0.14,1569376870249.0,5,0,0
-0.202,1569376870711.0,1,0,0
-0.23700000000000002,1569376871169.0,1,0,0
-0.211,1569376871628.0,1,0,0
-0.293,1569376872089.0,1,0,0
-0.352,1569376872569.0,1,0,0
-0.401,1569376873028.0,1,0,0
-0.426,1569376873489.0,1,0,0
-0.437,1569376873939.0,1,0,0
-0.45,1569376874399.0,1,0,0
-0.442,1569376874859.0,1,0,0
-0.437,1569376875319.0,1,0,0
-0.448,1569376875800.0,1,0,0
-0.512,1569376876239.0,1,0,0
-0.553,1569376876699.0,1,0,0
-0.436,1569376877159.0,9,0,0
-0.324,1569376877619.0,9,0,0
-0.22,1569376878079.0,9,0,0
-0.186,1569376878539.0,9,0,0
-0.165,1569376879009.0,9,0,0
-0.20500000000000002,1569376879458.0,9,0,0
-0.186,1569376879929.0,9,0,0
-0.059000000000000004,1569376880389.0,9,0,0
0.035,1569376880849.0,9,0,0
0.08700000000000001,1569376881320.0,9,0,0
0.189,1569376881768.0,9,0,0
0.14400000000000002,1569376882229.0,9,0,0
0.043000000000000003,1569376882689.0,9,0,0
0.10200000000000001,1569376883158.0,9,0,0
0.10400000000000001,1569376883619.0,9,0,0
0.155,1569376884079.0,9,0,0
0.168,1569376884538.0,9,0,0
0.157,1569376885008.0,9,0,0
0.151,1569376885468.0,9,0,0
0.163,1569376885929.0,9,0,0
0.183,1569376886400.0,9,0,0
0.155,1569376886859.0,9,0,0
0.107,1569376887318.0,9,0,0
0.127,1569376887768.0,9,0,0
0.131,1569376888240.0,9,0,0
0.092,1569376888699.0,9,0,0
0.018000000000000002,1569376889158.0,9,0,0
-0.068,1569376889619.0,9,0,0
-0.08,1569376890079.0,9,0,0
-0.1,1569376890539.0,9,0,0
-0.078,1569376890998.0,9,0,0
-0.068,1569376891459.0,9,0,0
-0.075,1569376891918.0,9,0,0
-0.083,1569376892383.0,9,0,0
-0.093,1569376892849.0,9,0,0
-0.085,1569376893310.0,9,0,0
-0.094,1569376893823.0,9,0,0
-0.111,1569376894228.0,9,0,0
-0.066,1569376894689.0,9,0,0
-0.008,1569376895148.0,9,0,0
-0.157,1569376895609.0,9,0,0
-0.783,1569376896068.0,9,0,0
-1.512,1569376896540.0,9,0,0
-1.585,1569376896999.0,9,0,0
-1.613,1569376897460.0,9,0,0
-1.085,1569376897918.0,4,0,1
-0.754,1569376898379.0,4,0,1
-0.659,1569376898839.0,4,0,1
-0.583,1569376899299.0,4,0,1
-0.447,1569376899759.0,4,0,1
-0.297,1569376900229.0,4,0,1
-0.203,1569376900679.0,4,0,1
-0.169,1569376901149.0,4,0,1
-0.156,1569376901599.0,4,0,1
-0.13,1569376902059.0,4,0,1
-0.093,1569376902521.0,4,0,1
-0.051000000000000004,1569376902979.0,4,0,1
-0.059000000000000004,1569376903448.0,4,0,1
-0.165,1569376903899.0,4,0,1
-0.311,1569376904360.0,4,0,1
-0.509,1569376904820.0,4,0,1
-0.841,1569376905279.0,4,0,1
-1.08,1569376905749.0,3,0,1
-0.796,1569376906209.0,3,0,1
-0.551,1569376906669.0,3,0,1
-0.449,1569376907131.0,3,0,1
-0.457,1569376907589.0,3,0,1
-0.371,1569376908049.0,3,0,1
-0.199,1569376908509.0,3,0,1
-0.074,1569376908979.0,3,0,1
0.17200000000000001,1569376909448.0,3,0,1
0.483,1569376909899.0,3,0,1
0.34500000000000003,1569376910360.0,3,0,1
0.075,1569376910819.0,3,0,1
-0.099,1569376911281.0,3,0,1
-0.163,1569376911739.0,3,0,1
-0.181,1569376912199.0,3,0,1
-0.183,1569376912659.0,3,0,1
-0.147,1569376913119.0,3,0,1
0.137,1569376913590.0,3,0,1
0.361,1569376914048.0,3,0,1
0.20500000000000002,1569376914509.0,3,0,1
-0.129,1569376915006.0,3,0,1
-0.653,1569376915448.0,3,0,1
-0.985,1569376915901.0,3,0,1
-0.633,1569376916360.0,3,0,1
-0.659,1569376916820.0,3,0,1
-0.519,1569376917280.0,0,0,0
-0.264,1569376917750.0,0,0,0
-0.139,1569376918198.0,0,0,0
-0.065,1569376918660.0,0,0,0
-0.027,1569376919120.0,0,0,0
-0.011,1569376919580.0,0,0,0
0.17,1569376920050.0,0,0,0
0.339,1569376920510.0,0,0,0
0.352,1569376920969.0,3,0,0
0.645,1569376921439.0,3,0,0
1.039,1569376921890.0,3,0,0
0.907,1569376922350.0,3,0,0
0.705,1569376922809.0,3,0,0
0.539,1569376923270.0,3,0,0
0.439,1569376923739.0,3,0,0
0.397,1569376924200.0,3,0,0
0.397,1569376924660.0,3,0,0
0.40800000000000003,1569376925120.0,3,0,0
0.41300000000000003,1569376925610.0,3,0,0
0.446,1569376926040.0,3,0,0
0.441,1569376926500.0,3,0,0
0.334,1569376926960.0,3,0,0
0.325,1569376927420.0,3,0,0
0.187,1569376927880.0,3,0,0
-0.021,1569376928341.0,3,0,0
-0.187,1569376928800.0,3,0,0
-0.28200000000000003,1569376929260.0,3,0,0
-0.273,1569376929730.0,3,0,0
-0.266,1569376930190.0,1,0,1
-0.276,1569376930649.0,1,0,1
-0.245,1569376931110.0,1,0,1
-0.219,1569376931570.0,1,0,1
-0.183,1569376932030.0,1,0,1
-0.161,1569376932490.0,1,0,1
-0.057,1569376932950.0,1,0,1
-0.047,1569376933420.0,1,0,1
-0.08600000000000001,1569376933880.0,1,0,1
-0.065,1569376934340.0,1,0,1
0.314,1569376934800.0,1,0,1
0.654,1569376935260.0,4,0,1
0.767,1569376935720.0,4,0,1
0.40900000000000003,1569376936180.0,4,0,1
0.05,1569376936640.0,4,0,1
-0.026000000000000002,1569376937100.0,4,0,1
0.136,1569376937560.0,4,0,1
0.28400000000000003,1569376938020.0,4,0,1
0.218,1569376938480.0,4,0,1
0.061,1569376938940.0,4,0,1
-0.108,1569376939400.0,4,0,1
-0.17400000000000002,1569376939860.0,4,0,1
-0.20500000000000002,1569376940320.0,4,0,1
-0.227,1569376940780.0,4,0,1
-0.20800000000000002,1569376941239.0,4,0,1
-0.165,1569376941700.0,4,0,1
-0.158,1569376942170.0,4,0,1
-0.152,1569376942630.0,4,0,1
