DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
-0.03,1569376858698.0,1,0,0
-0.03,1569376859160.0,1,0,0
-0.03,1569376859618.0,1,0,0
-0.03,1569376860089.0,1,0,0
-0.03,1569376860549.0,1,0,0
-0.03,1569376861047.0,1,0,0
-0.03,1569376861469.0,1,0,0
-0.03,1569376861928.0,1,0,0
-0.03,1569376862389.0,1,0,0
-0.03,1569376862849.0,1,0,0
-0.03,1569376863309.0,1,0,0
-0.03,1569376863769.0,1,0,0
-0.03,1569376864229.0,1,0,0
-0.03,1569376864689.0,5,0,0
-0.03,1569376865149.0,5,0,0
-0.03,1569376865619.0,5,0,0
-0.03,1569376866078.0,5,0,0
-0.03,1569376866539.0,5,0,0
-0.03,1569376866999.0,5,0,0
-0.03,1569376867459.0,5,0,0
-0.03,1569376867919.0,5,0,0
-0.03,1569376868379.0,5,0,0
-0.03,1569376868839.0,5,0,0
-0.03,1569376869299.0,5,0,0
-0.03,1569376869759.0,5,0,0
-0.03,1569376870229.0,5,0,0
-0.03,1569376870688.0,1,0,0
-0.03,1569376871149.0,1,0,0
-0.03,1569376871609.0,1,0,0
-0.03,1569376872069.0,1,0,0
-0.03,1569376872539.0,1,0,0
-0.03,1569376872999.0,1,0,0
-0.03,1569376873469.0,1,0,0
-0.03,1569376873919.0,1,0,0
-0.03,1569376874379.0,1,0,0
-0.03,1569376874829.0,1,0,0
-0.03,1569376875299.0,1,0,0
-0.03,1569376875799.0,1,0,0
-0.03,1569376876221.0,1,0,0
-0.03,1569376876679.0,1,0,0
-0.03,1569376877139.0,9,0,0
-0.03,1569376877599.0,9,0,0
-0.03,1569376878059.0,9,0,0
-0.03,1569376878519.0,9,0,0
-0.03,1569376878994.0,9,0,0
-0.03,1569376879451.0,9,0,0
-0.03,1569376879898.0,9,0,0
-0.03,1569376880369.0,9,0,0
-0.03,1569376880829.0,9,0,0
-0.03,1569376881289.0,9,0,0
-0.03,1569376881749.0,9,0,0
-0.03,1569376882209.0,9,0,0
-0.03,1569376882671.0,9,0,0
-0.03,1569376883139.0,9,0,0
-0.03,1569376883589.0,9,0,0
-0.03,1569376884058.0,9,0,0
-0.03,1569376884518.0,9,0,0
-0.03,1569376884981.0,9,0,0
-0.03,1569376885449.0,9,0,0
-0.03,1569376885908.0,9,0,0
-0.03,1569376886369.0,9,0,0
-0.03,1569376886828.0,9,0,0
-0.03,1569376887291.0,9,0,0
-0.03,1569376887748.0,9,0,0
-0.03,1569376888218.0,9,0,0
-0.03,1569376888679.0,9,0,0
-0.03,1569376889138.0,9,0,0
-0.03,1569376889610.0,9,0,0
-0.03,1569376890059.0,9,0,0
-0.03,1569376890520.0,9,0,0
-0.03,1569376890978.0,9,0,0
-0.03,1569376891448.0,9,0,0
-0.03,1569376891899.0,9,0,0
-0.03,1569376892359.0,9,0,0
-0.03,1569376892829.0,9,0,0
-0.03,1569376893290.0,9,0,0
-0.03,1569376893748.0,9,0,0
-0.03,1569376894208.0,9,0,0
-0.03,1569376894669.0,9,0,0
-0.03,1569376895130.0,9,0,0
0.36,1569376895590.0,9,0,0
1.23,1569376896048.0,9,0,0
1.23,1569376896519.0,9,0,0
1.23,1569376896983.0,9,0,0
0.9,1569376897452.0,9,0,0
-0.03,1569376897898.0,9,0,0
-0.03,1569376898360.0,4,0,1
-0.03,1569376898818.0,4,0,1
-0.03,1569376899279.0,4,0,1
-0.03,1569376899741.0,4,0,1
-0.03,1569376900199.0,4,0,1
-0.03,1569376900659.0,4,0,1
-0.03,1569376901119.0,4,0,1
-0.03,1569376901579.0,4,0,1
-0.03,1569376902040.0,4,0,1
-0.03,1569376902499.0,4,0,1
-0.03,1569376902959.0,4,0,1
-0.03,1569376903419.0,4,0,1
0.09,1569376903879.0,4,0,1
0.24,1569376904339.0,4,0,1
0.42,1569376904799.0,4,0,1
0.72,1569376905259.0,4,0,1
0.6900000000000001,1569376905718.0,3,0,1
0.15,1569376906189.0,3,0,1
0.18,1569376906640.0,3,0,1
0.21,1569376907109.0,3,0,1
0.21,1569376907569.0,3,0,1
-0.03,1569376908030.0,3,0,1
-0.03,1569376908490.0,3,0,1
-0.03,1569376908950.0,3,0,1
-0.03,1569376909418.0,3,0,1
-0.03,1569376909879.0,3,0,1
0.15,1569376910340.0,3,0,1
-0.03,1569376910799.0,3,0,1
-0.03,1569376911259.0,3,0,1
-0.03,1569376911719.0,3,0,1
-0.03,1569376912180.0,3,0,1
-0.03,1569376912640.0,3,0,1
-0.03,1569376913100.0,3,0,1
-0.03,1569376913570.0,3,0,1
-0.03,1569376914029.0,3,0,1
0.18,1569376914488.0,3,0,1
0.3,1569376914950.0,3,0,1
1.23,1569376915419.0,3,0,1
0.51,1569376915880.0,3,0,1
0.93,1569376916340.0,3,0,1
0.99,1569376916800.0,3,0,1
0.36,1569376917259.0,0,0,0
0.48,1569376917720.0,0,0,0
0.51,1569376918186.0,0,0,0
0.54,1569376918640.0,0,0,0
0.51,1569376919100.0,0,0,0
0.15,1569376919560.0,0,0,0
-0.06,1569376920029.0,0,0,0
-0.03,1569376920490.0,0,0,0
-0.03,1569376920949.0,3,0,0
-0.03,1569376921420.0,3,0,0
-0.03,1569376921870.0,3,0,0
-0.03,1569376922331.0,3,0,0
-0.03,1569376922790.0,3,0,0
-0.03,1569376923250.0,3,0,0
-0.03,1569376923710.0,3,0,0
-0.03,1569376924170.0,3,0,0
-0.03,1569376924640.0,3,0,0
-0.03,1569376925100.0,3,0,0
-0.03,1569376925609.0,3,0,0
-0.03,1569376926020.0,3,0,0
-0.03,1569376926479.0,3,0,0
-0.03,1569376926930.0,3,0,0
-0.03,1569376927390.0,3,0,0
-0.03,1569376927860.0,3,0,0
-0.03,1569376928320.0,3,0,0
-0.03,1569376928780.0,3,0,0
-0.03,1569376929240.0,3,0,0
-0.03,1569376929700.0,3,0,0
-0.03,1569376930160.0,1,0,1
-0.03,1569376930632.0,1,0,1
-0.03,1569376931090.0,1,0,1
-0.03,1569376931550.0,1,0,1
-0.03,1569376932010.0,1,0,1
-0.03,1569376932470.0,1,0,1
-0.03,1569376932930.0,1,0,1
-0.03,1569376933400.0,1,0,1
-0.03,1569376933860.0,1,0,1
-0.03,1569376934310.0,1,0,1
-0.03,1569376934780.0,1,0,1
-0.03,1569376935240.0,4,0,1
-0.03,1569376935700.0,4,0,1
-0.03,1569376936170.0,4,0,1
-0.03,1569376936610.0,4,0,1
-0.03,1569376937080.0,4,0,1
-0.03,1569376937540.0,4,0,1
-0.03,1569376938002.0,4,0,1
-0.03,1569376938450.0,4,0,1
-0.03,1569376938920.0,4,0,1
-0.03,1569376939379.0,4,0,1
-0.03,1569376939840.0,4,0,1
-0.03,1569376940300.0,4,0,1
-0.03,1569376940759.0,4,0,1
-0.03,1569376941221.0,4,0,1
-0.03,1569376941680.0,4,0,1
-0.03,1569376942140.0,4,0,1
-0.03,1569376942610.0,4,0,1
-0.03,1569376943070.0,4,0,1
-0.03,1569376943530.0,4,0,1
-0.03,1569376943990.0,4,0,1
-0.03,1569376944450.0,4,0,1
-0.03,1569376944910.0,4,0,1
-0.03,1569376945370.0,1,0,0
-0.03,1569376945830.0,1,0,0
