DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
1493.0,1569376858730.0,1,0,0
1485.5,1569376859199.0,1,0,0
1478.5,1569376859648.0,1,0,0
1471.0,1569376860118.0,1,0,0
1459.5,1569376860579.0,1,0,0
1450.5,1569376861050.0,1,0,0
1444.5,1569376861510.0,1,0,0
1433.5,1569376861958.0,1,0,0
1428.0,1569376862419.0,1,0,0
1427.0,1569376862880.0,1,0,0
1419.0,1569376863338.0,1,0,0
1409.5,1569376863800.0,1,0,0
1404.5,1569376864259.0,1,0,0
1398.5,1569376864728.0,5,0,0
1402.0,1569376865180.0,5,0,0
1405.5,1569376865659.0,5,0,0
1413.5,1569376866108.0,5,0,0
1426.5,1569376866569.0,5,0,0
1433.5,1569376867029.0,5,0,0
1440.0,1569376867488.0,5,0,0
1448.5,1569376867958.0,5,0,0
1452.0,1569376868437.0,5,0,0
1461.0,1569376868869.0,5,0,0
1460.5,1569376869339.0,5,0,0
1437.5,1569376869789.0,5,0,0
1442.5,1569376870259.0,5,0,0
1430.0,1569376870719.0,1,0,0
1414.5,1569376871179.0,1,0,0
1404.5,1569376871639.0,1,0,0
1376.0,1569376872109.0,1,0,0
1369.0,1569376872579.0,1,0,0
1329.0,1569376873039.0,1,0,0
1311.0,1569376873500.0,1,0,0
1278.0,1569376873959.0,1,0,0
1253.0,1569376874409.0,1,0,0
1231.5,1569376874869.0,1,0,0
1209.5,1569376875329.0,1,0,0
1174.0,1569376875801.0,1,0,0
1327.5,1569376876252.0,1,0,0
1528.5,1569376876709.0,1,0,0
1407.0,1569376877169.0,9,0,0
1476.0,1569376877628.0,9,0,0
1543.0,1569376878089.0,9,0,0
1503.5,1569376878549.0,9,0,0
1390.5,1569376879019.0,9,0,0
1355.0,1569376879478.0,9,0,0
1375.0,1569376879939.0,9,0,0
1617.5,1569376880400.0,9,0,0
1655.5,1569376880859.0,9,0,0
1682.0,1569376881329.0,9,0,0
1708.0,1569376881779.0,9,0,0
1709.5,1569376882249.0,9,0,0
1699.5,1569376882708.0,9,0,0
1750.0,1569376883168.0,9,0,0
1788.5,1569376883629.0,9,0,0
1801.0,1569376884088.0,9,0,0
1811.0,1569376884548.0,9,0,0
1833.0,1569376885019.0,9,0,0
1843.0,1569376885478.0,9,0,0
1856.5,1569376885938.0,9,0,0
1875.5,1569376886409.0,9,0,0
1889.0,1569376886869.0,9,0,0
1894.0,1569376887329.0,9,0,0
