DT_steerAngle,Timestamp,Action,Bump,Traffic congestion
1.4000000000000001,1569376858637.0,1,0,0
1.0,1569376859096.0,1,0,0
0.8,1569376859555.0,1,0,0
0.2,1569376860025.0,1,0,0
-0.5,1569376860486.0,1,0,0
-1.1,1569376860946.0,1,0,0
-1.0,1569376861410.0,1,0,0
-0.1,1569376861865.0,1,0,0
0.4,1569376862324.0,1,0,0
0.30000000000000004,1569376862785.0,1,0,0
-0.2,1569376863245.0,1,0,0
-1.6,1569376863705.0,1,0,0
-4.1000000000000005,1569376864160.0,1,0,0
-4.800000000000001,1569376864630.0,5,0,0
-6.300000000000001,1569376865085.0,5,0,0
-3.3000000000000003,1569376865560.0,5,0,0
-3.2,1569376866014.0,5,0,0
-3.0,1569376866474.0,5,0,0
-0.30000000000000004,1569376866935.0,5,0,0
0.0,1569376867401.0,5,0,0
0.4,1569376867860.0,5,0,0
0.5,1569376868320.0,5,0,0
1.3,1569376868780.0,5,0,0
4.5,1569376869240.0,5,0,0
4.5,1569376869695.0,5,0,0
3.6,1569376870166.0,5,0,0
2.4000000000000004,1569376870625.0,1,0,0
1.9000000000000001,1569376871085.0,1,0,0
1.6,1569376871545.0,1,0,0
1.2000000000000002,1569376872010.0,1,0,0
0.4,1569376872480.0,1,0,0
0.2,1569376872940.0,1,0,0
-0.1,1569376873405.0,1,0,0
-0.7000000000000001,1569376873860.0,1,0,0
-1.1,1569376874315.0,1,0,0
-1.3,1569376874770.0,1,0,0
-1.9000000000000001,1569376875235.0,1,0,0
-2.4000000000000004,1569376875696.0,1,0,0
-3.3000000000000003,1569376876155.0,1,0,0
-8.1,1569376876615.0,1,0,0
-12.4,1569376877075.0,9,0,0
-13.200000000000001,1569376877535.0,9,0,0
-15.5,1569376877994.0,9,0,0
-20.700000000000003,1569376878455.0,9,0,0
-39.2,1569376878915.0,9,0,0
-53.1,1569376879380.0,9,0,0
-61.300000000000004,1569376879839.0,9,0,0
-64.2,1569376880304.0,9,0,0
-58.5,1569376880770.0,9,0,0
-54.900000000000006,1569376881230.0,9,0,0
-51.800000000000004,1569376881684.0,9,0,0
-47.400000000000006,1569376882188.0,9,0,0
-45.2,1569376882609.0,9,0,0
-44.1,1569376883070.0,9,0,0
-46.1,1569376883529.0,9,0,0
-46.7,1569376883994.0,9,0,0
-47.800000000000004,1569376884458.0,9,0,0
-44.400000000000006,1569376884920.0,9,0,0
-47.0,1569376885384.0,9,0,0
-46.800000000000004,1569376885844.0,9,0,0
-45.7,1569376886304.0,9,0,0
-48.7,1569376886769.0,9,0,0
-47.900000000000006,1569376887229.0,9,0,0
-48.7,1569376887689.0,9,0,0
-48.900000000000006,1569376888154.0,9,0,0
-53.1,1569376888614.0,9,0,0
-52.0,1569376889074.0,9,0,0
-52.6,1569376889533.0,9,0,0
-51.800000000000004,1569376889995.0,9,0,0
-51.6,1569376890458.0,9,0,0
-48.1,1569376890918.0,9,0,0
-46.1,1569376891379.0,9,0,0
-46.2,1569376891839.0,9,0,0
-46.300000000000004,1569376892299.0,9,0,0
-43.300000000000004,1569376892769.0,9,0,0
-38.0,1569376893229.0,9,0,0
-39.6,1569376893684.0,9,0,0
-43.400000000000006,1569376894144.0,9,0,0
-42.6,1569376894604.0,9,0,0
-47.7,1569376895064.0,9,0,0
-48.400000000000006,1569376895524.0,9,0,0
-50.2,1569376895989.0,9,0,0
-49.800000000000004,1569376896454.0,9,0,0
-42.0,1569376896914.0,9,0,0
-18.0,1569376897379.0,9,0,0
-3.4000000000000004,1569376897839.0,9,0,0
2.9000000000000004,1569376898299.0,4,0,1
8.5,1569376898754.0,4,0,1
4.4,1569376899216.0,4,0,1
-21.1,1569376899679.0,4,0,1
-55.1,1569376900175.0,4,0,1
-83.60000000000001,1569376900599.0,4,0,1
-105.80000000000001,1569376901059.0,4,0,1
-114.0,1569376901519.0,4,0,1
-110.30000000000001,1569376901973.0,4,0,1
-106.10000000000001,1569376902434.0,4,0,1
-94.0,1569376902894.0,4,0,1
-75.0,1569376903364.0,4,0,1
-68.3,1569376903814.0,4,0,1
-44.0,1569376904279.0,4,0,1
-41.400000000000006,1569376904733.0,4,0,1
-44.800000000000004,1569376905196.0,4,0,1
-44.7,1569376905659.0,3,0,1
-51.6,1569376906124.0,3,0,1
-58.2,1569376906578.0,3,0,1
-53.900000000000006,1569376907044.0,3,0,1
-57.5,1569376907553.0,3,0,1
-65.60000000000001,1569376907968.0,3,0,1
-84.80000000000001,1569376908428.0,3,0,1
-88.10000000000001,1569376908888.0,3,0,1
-89.7,1569376909353.0,3,0,1
-68.60000000000001,1569376909814.0,3,0,1
-63.2,1569376910274.0,3,0,1
-64.0,1569376910740.0,3,0,1
-37.800000000000004,1569376911193.0,3,0,1
-18.1,1569376911658.0,3,0,1
-12.200000000000001,1569376912112.0,3,0,1
-12.100000000000001,1569376912574.0,3,0,1
-12.200000000000001,1569376913032.0,3,0,1
-13.100000000000001,1569376913503.0,3,0,1
-19.0,1569376913968.0,3,0,1
-19.5,1569376914428.0,3,0,1
-23.200000000000003,1569376914888.0,3,0,1
-24.900000000000002,1569376915347.0,3,0,1
-25.1,1569376915812.0,3,0,1
-25.3,1569376916273.0,3,0,1
-25.3,1569376916739.0,3,0,1
-25.6,1569376917198.0,0,0,0
-25.0,1569376917663.0,0,0,0
-24.6,1569376918118.0,0,0,0
-24.700000000000003,1569376918579.0,0,0,0
-24.700000000000003,1569376919038.0,0,0,0
-24.700000000000003,1569376919498.0,0,0,0
-24.700000000000003,1569376919966.0,0,0,0
-24.900000000000002,1569376920428.0,0,0,0
-25.0,1569376920888.0,3,0,0
-25.200000000000003,1569376921353.0,3,0,0
-25.200000000000003,1569376921808.0,3,0,0
-25.200000000000003,1569376922268.0,3,0,0
-25.3,1569376922728.0,3,0,0
-25.3,1569376923188.0,3,0,0
-26.400000000000002,1569376923653.0,3,0,0
-36.1,1569376924113.0,3,0,0
-38.2,1569376924573.0,3,0,0
-38.2,1569376925033.0,3,0,0
-39.5,1569376925497.0,3,0,0
-40.1,1569376925953.0,3,0,0
-43.300000000000004,1569376926413.0,3,0,0
-45.300000000000004,1569376926873.0,3,0,0
