DT_lateralAcc,Timestamp,Action,Bump,Traffic congestion
-0.01,1569384010845.0,0,0,0
-0.01,1569384011305.0,0,0,0
-0.01,1569384011766.0,0,0,0
-0.01,1569384012226.0,0,0,0
-0.01,1569384012686.0,0,0,0
-0.01,1569384013145.0,0,0,0
-0.01,1569384013605.0,0,0,0
-0.01,1569384014076.0,0,0,0
0.0,1569384014546.0,3,0,0
0.0,1569384014996.0,3,0,0
0.0,1569384015455.0,3,0,0
-0.01,1569384015916.0,3,0,0
-0.04,1569384016376.0,3,0,0
-0.06,1569384016836.0,3,0,0
-0.08,1569384017296.0,3,0,0
-0.07,1569384017756.0,3,0,0
-0.12,1569384018215.0,3,0,0
-0.12,1569384018677.0,3,0,0
-0.14,1569384019135.0,3,0,0
-0.11,1569384019596.0,3,0,0
-0.05,1569384020056.0,3,0,0
-0.05,1569384020506.0,3,0,0
-0.03,1569384020976.0,3,0,0
0.03,1569384021426.0,1,0,0
0.04,1569384021896.0,1,0,0
0.0,1569384022348.0,2,0,0
0.01,1569384022816.0,2,0,0
0.02,1569384023283.0,2,0,0
0.01,1569384023735.0,2,0,0
0.01,1569384024205.0,2,0,0
0.02,1569384024666.0,2,0,0
0.11,1569384025145.0,2,0,0
0.11,1569384025595.0,2,0,0
0.1,1569384026056.0,2,0,0
0.04,1569384026515.0,2,0,0
-0.01,1569384026985.0,2,0,0
0.0,1569384027445.0,2,0,0
0.01,1569384027905.0,2,0,0
-0.01,1569384028366.0,2,0,0
-0.02,1569384028836.0,1,0,0
-0.01,1569384029296.0,1,0,0
-0.01,1569384029756.0,1,0,0
-0.01,1569384030226.0,1,0,0
-0.01,1569384030676.0,1,0,0
-0.01,1569384031161.0,1,0,0
-0.02,1569384031606.0,1,0,0
-0.02,1569384032067.0,1,0,0
-0.01,1569384032537.0,1,0,0
-0.03,1569384032986.0,1,0,0
-0.02,1569384033457.0,1,0,0
-0.02,1569384033916.0,1,0,0
-0.03,1569384034376.0,1,0,0
-0.02,1569384034837.0,1,0,0
-0.01,1569384035297.0,2,0,0
0.02,1569384035757.0,2,0,0
0.08,1569384036216.0,2,0,0
0.09,1569384036719.0,2,0,0
0.19,1569384037164.0,2,0,0
0.2,1569384037607.0,2,0,0
0.19,1569384038067.0,2,0,0
0.14,1569384038537.0,2,0,0
0.18,1569384038997.0,2,0,0
0.06,1569384039457.0,2,0,0
0.0,1569384039917.0,2,0,0
-0.03,1569384040377.0,2,0,0
-0.04,1569384040847.0,1,0,0
-0.02,1569384041306.0,1,0,0
-0.02,1569384041766.0,1,0,0
-0.03,1569384042226.0,1,0,0
-0.03,1569384042687.0,1,0,0
-0.01,1569384043161.0,1,0,0
-0.02,1569384043607.0,1,0,0
-0.01,1569384044093.0,1,0,0
0.0,1569384044537.0,1,0,0
-0.02,1569384044997.0,1,0,0
-0.01,1569384045457.0,1,0,0
-0.02,1569384045917.0,1,0,0
-0.02,1569384046377.0,1,0,0
-0.01,1569384046847.0,1,0,0
0.0,1569384047306.0,1,0,0
0.02,1569384047767.0,1,0,0
0.02,1569384048227.0,2,0,0
0.06,1569384048687.0,2,0,0
0.09,1569384049159.0,2,0,0
0.19,1569384049617.0,2,0,0
0.2,1569384050077.0,2,0,0
0.25,1569384050537.0,2,0,0
0.27,1569384051006.0,2,0,0
0.09,1569384051466.0,2,0,0
0.0,1569384051927.0,2,0,0
-0.03,1569384052396.0,2,0,0
-0.02,1569384052857.0,2,0,0
-0.02,1569384053326.0,1,0,0
0.0,1569384053776.0,1,0,0
-0.01,1569384054237.0,1,0,0
0.0,1569384054696.0,1,0,0
0.0,1569384055164.0,2,0,0
0.06,1569384055617.0,2,0,0
0.19,1569384056086.0,2,0,0
0.23,1569384056537.0,2,0,0
0.2,1569384056997.0,2,0,0
0.07,1569384057466.0,2,0,0
-0.03,1569384057917.0,2,0,0
-0.03,1569384058387.0,1,0,0
0.0,1569384058846.0,1,0,0
0.0,1569384059306.0,1,0,0
-0.02,1569384059767.0,1,0,0
-0.04,1569384060217.0,3,0,0
-0.06,1569384060677.0,3,0,0
-0.09,1569384061147.0,3,0,0
-0.08,1569384061607.0,3,0,0
-0.12,1569384062066.0,3,0,0
-0.12,1569384062517.0,3,0,0
-0.15,1569384062987.0,3,0,0
-0.2,1569384063447.0,3,0,0
-0.21,1569384063897.0,3,0,0
-0.17,1569384064359.0,3,0,0
-0.13,1569384064828.0,3,0,0
-0.09,1569384065281.0,3,0,0
-0.03,1569384065727.0,3,0,0
-0.02,1569384066191.0,3,0,0
-0.08,1569384066647.0,3,0,0
-0.06,1569384067116.0,3,0,0
-0.04,1569384067577.0,1,0,0
-0.01,1569384068047.0,1,0,0
-0.02,1569384068506.0,1,0,0
-0.01,1569384068967.0,2,0,0
0.05,1569384069436.0,2,0,0
0.13,1569384069897.0,2,0,0
0.14,1569384070358.0,2,0,0
0.15,1569384070827.0,2,0,0
0.1,1569384071283.0,2,0,0
0.06,1569384071736.0,2,0,0
0.02,1569384072197.0,2,0,0
-0.06,1569384072657.0,4,0,0
-0.05,1569384073117.0,4,0,0
0.02,1569384073577.0,4,0,0
0.06,1569384074037.0,4,0,0
0.1,1569384074496.0,4,0,0
0.06,1569384074957.0,4,0,0
-0.04,1569384075417.0,4,0,0
-0.04,1569384075877.0,4,0,0
-0.09,1569384076347.0,4,0,0
-0.1,1569384076807.0,4,0,0
-0.09,1569384077267.0,4,0,0
-0.08,1569384077751.0,4,0,0
-0.02,1569384078187.0,4,0,0
-0.01,1569384078657.0,1,0,0
-0.03,1569384079117.0,1,0,0
-0.03,1569384079576.0,1,0,0
-0.02,1569384080036.0,1,0,0
-0.01,1569384080497.0,1,0,0
-0.02,1569384080957.0,1,0,0
-0.02,1569384081416.0,1,0,0
-0.02,1569384081877.0,1,0,0
-0.02,1569384082337.0,1,0,0
-0.03,1569384082797.0,1,0,0
-0.02,1569384083257.0,1,0,0
-0.03,1569384083717.0,1,0,0
-0.02,1569384084177.0,1,0,0
-0.02,1569384084627.0,1,0,0
-0.04,1569384085087.0,1,0,0
-0.04,1569384085547.0,1,0,0
-0.02,1569384086017.0,1,0,0
-0.03,1569384086467.0,1,0,0
-0.03,1569384086927.0,1,0,0
-0.03,1569384087387.0,1,0,0
-0.02,1569384087847.0,1,0,0
-0.03,1569384088307.0,1,0,0
-0.03,1569384088767.0,1,0,0
-0.03,1569384089227.0,1,0,0
-0.04,1569384089697.0,1,0,0
-0.04,1569384090160.0,1,0,0
-0.04,1569384090617.0,1,0,0
-0.04,1569384091077.0,1,0,0
-0.04,1569384091547.0,1,0,0
-0.05,1569384092007.0,1,0,0
-0.04,1569384092467.0,1,0,0
-0.05,1569384092937.0,1,0,0
-0.04,1569384093397.0,1,0,0
-0.04,1569384093857.0,1,0,0
-0.04,1569384094317.0,1,0,0
-0.04,1569384094777.0,1,0,0
-0.02,1569384095247.0,1,0,0
-0.03,1569384095734.0,1,0,0
-0.02,1569384096167.0,1,0,0
-0.02,1569384096627.0,1,0,0
-0.02,1569384097087.0,1,0,0
-0.02,1569384097547.0,1,0,0
0.0,1569384098007.0,1,0,0
0.0,1569384098467.0,1,0,0
0.0,1569384098931.0,1,0,0
0.0,1569384099397.0,1,0,0
-0.02,1569384099847.0,1,0,0
-0.01,1569384100307.0,1,0,0
-0.01,1569384100767.0,1,0,0
-0.01,1569384101227.0,2,0,0
0.0,1569384101687.0,2,0,0
0.0,1569384102147.0,2,0,0
0.02,1569384102607.0,2,0,0
0.03,1569384103067.0,2,0,0
0.06,1569384103527.0,2,0,0
0.08,1569384103997.0,2,0,0
0.06,1569384104457.0,2,0,0
0.03,1569384104917.0,2,0,0
0.0,1569384105377.0,2,0,0
-0.01,1569384105837.0,2,0,0
-0.01,1569384106346.0,2,0,0
-0.02,1569384106757.0,2,0,0
0.0,1569384107217.0,2,0,0
0.0,1569384107677.0,2,0,0
0.02,1569384108138.0,2,0,0
0.0,1569384108597.0,2,0,0
0.0,1569384109057.0,2,0,0
0.03,1569384109517.0,2,0,0
0.03,1569384109977.0,2,0,0
0.04,1569384110437.0,2,0,0
0.0,1569384110897.0,2,0,0
-0.03,1569384111377.0,2,0,0
-0.03,1569384111826.0,2,0,0
0.0,1569384112297.0,2,0,0
-0.03,1569384112747.0,1,0,1
-0.01,1569384113207.0,1,0,1
-0.01,1569384113666.0,1,0,1
-0.01,1569384114127.0,1,0,1
-0.01,1569384114587.0,1,0,1
-0.01,1569384115037.0,1,0,1
-0.01,1569384115497.0,0,0,1
-0.01,1569384115957.0,0,0,1
-0.01,1569384116428.0,0,0,1
-0.01,1569384116887.0,0,0,1
-0.01,1569384117347.0,0,0,1
-0.01,1569384117807.0,0,0,1
-0.01,1569384118267.0,0,0,1
-0.01,1569384118727.0,0,0,1
-0.01,1569384119197.0,-1,0,1
-0.01,1569384119647.0,-1,0,1
-0.01,1569384120107.0,-1,0,1
-0.01,1569384120567.0,-1,0,1
-0.01,1569384121027.0,-1,0,1
-0.01,1569384121487.0,-1,0,1
0.0,1569384121957.0,-1,0,1
-0.01,1569384122417.0,-1,0,1
0.01,1569384122887.0,-1,0,1
0.0,1569384123349.0,-1,0,1
0.0,1569384123797.0,-1,0,1
0.0,1569384124257.0,-1,0,1
0.01,1569384124717.0,-1,0,1
0.0,1569384125178.0,-1,0,1
0.0,1569384125637.0,-1,0,1
-0.02,1569384126097.0,-1,0,1
-0.01,1569384126557.0,-1,0,1
0.0,1569384127017.0,-1,0,1
0.0,1569384127477.0,-1,0,1
0.0,1569384127927.0,0,0,1
0.0,1569384128387.0,0,0,1
0.0,1569384128847.0,0,0,1
0.0,1569384129307.0,0,0,1
0.0,1569384129767.0,0,0,1
0.0,1569384130226.0,0,0,1
0.0,1569384130687.0,0,0,1
0.0,1569384131147.0,0,0,1
0.0,1569384131607.0,0,0,1
0.0,1569384132067.0,0,0,1
0.0,1569384132536.0,0,0,1
0.0,1569384132997.0,0,0,1
0.0,1569384133457.0,0,0,1
0.0,1569384133917.0,0,0,1
0.0,1569384134380.0,0,0,1
0.0,1569384134840.0,0,0,1
0.0,1569384135307.0,-1,0,1
-0.01,1569384135767.0,-1,0,1
-0.02,1569384136237.0,-1,0,1
-0.01,1569384136697.0,-1,0,1
-0.01,1569384137148.0,-1,0,1
-0.02,1569384137607.0,-1,0,1
0.0,1569384138067.0,-1,0,1
0.0,1569384138537.0,-1,0,1
-0.01,1569384138987.0,-1,0,1
0.0,1569384139447.0,-1,0,1
0.0,1569384139907.0,-1,0,1
-0.01,1569384140375.0,-1,0,1
-0.02,1569384140844.0,1,0,1
-0.02,1569384141296.0,1,0,1
-0.02,1569384141747.0,1,0,1
-0.01,1569384142209.0,1,0,1
-0.01,1569384142667.0,1,0,1
-0.02,1569384143127.0,1,0,1
-0.01,1569384143597.0,1,0,1
-0.01,1569384144057.0,1,0,1
-0.01,1569384144517.0,1,0,1
-0.01,1569384144977.0,1,0,1
