DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569397134733.0,0,0,0
0.0,1569397135193.0,0,0,0
0.0,1569397135664.0,0,0,0
0.0,1569397136124.0,0,0,0
0.0,1569397136584.0,0,0,0
0.0,1569397137054.0,0,0,0
0.0,1569397137514.0,0,0,0
0.0,1569397137973.0,0,0,0
0.0,1569397138435.0,0,0,0
0.0,1569397138934.0,0,0,0
0.0,1569397139354.0,0,0,0
0.0,1569397139814.0,0,0,0
0.0,1569397140283.0,0,0,0
0.0,1569397140734.0,0,0,0
0.0,1569397141203.0,0,0,0
0.0,1569397141674.0,0,0,0
0.0,1569397142123.0,0,0,0
0.0,1569397142584.0,0,0,0
0.0,1569397143044.0,0,0,0
0.0,1569397143514.0,0,0,0
0.0,1569397143973.0,0,0,0
0.0,1569397144434.0,0,0,0
0.0,1569397144894.0,0,0,0
0.0,1569397145354.0,0,0,0
0.0,1569397145814.0,0,0,0
0.0,1569397146328.0,10,0,0
0.0,1569397146735.0,10,0,0
0.0,1569397147194.0,10,0,0
0.0,1569397147654.0,10,0,0
0.0,1569397148113.0,10,0,0
0.0,1569397148574.0,10,0,0
0.0,1569397149045.0,10,0,0
0.0,1569397149515.0,10,0,0
0.0,1569397149963.0,10,0,0
0.0,1569397150424.0,10,0,0
0.0,1569397150874.0,10,0,0
0.0,1569397151334.0,10,0,0
0.0,1569397151794.0,10,0,0
0.0,1569397152272.0,10,0,0
0.0,1569397152724.0,10,0,0
0.0,1569397153184.0,10,0,0
0.0,1569397153644.0,10,0,0
0.0,1569397154114.0,10,0,0
0.0,1569397154574.0,10,0,0
0.0,1569397155024.0,10,0,0
0.0,1569397155484.0,10,0,0
0.0,1569397155944.0,10,0,0
0.0,1569397156404.0,10,0,0
0.0,1569397156888.0,10,0,0
0.0,1569397157324.0,10,0,0
0.0,1569397157784.0,10,0,0
0.0,1569397158271.0,10,0,0
0.0,1569397158714.0,10,0,0
0.0,1569397159174.0,10,0,0
0.0,1569397159634.0,10,0,0
0.0,1569397160094.0,10,0,0
0.0,1569397160554.0,10,0,0
0.0,1569397161014.0,2,0,0
0.0,1569397161473.0,2,0,0
0.0,1569397161945.0,2,0,0
0.0,1569397162404.0,2,0,0
0.0,1569397162864.0,2,0,0
0.0,1569397163324.0,2,0,0
0.0,1569397163786.0,2,0,0
0.0,1569397164310.0,2,0,0
0.0,1569397164724.0,2,0,0
0.0,1569397165184.0,2,0,0
