DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
0.0,1569399748906.0,0,0,0
0.0,1569399749341.0,0,0,0
0.0,1569399749810.0,0,0,0
0.0,1569399750270.0,0,0,0
0.0,1569399750731.0,0,0,0
0.0,1569399751190.0,0,0,0
0.0,1569399751660.0,0,0,0
0.0,1569399752111.0,0,0,0
0.0,1569399752571.0,0,0,0
0.0,1569399753043.0,0,0,0
0.0,1569399753501.0,0,0,0
0.0,1569399753961.0,0,0,0
0.0,1569399754421.0,0,0,0
0.0,1569399754880.0,0,0,0
0.0,1569399755341.0,0,0,0
0.0,1569399755800.0,0,0,0
0.0,1569399756260.0,0,0,0
0.0,1569399756720.0,0,0,0
0.0,1569399757181.0,0,0,0
0.0,1569399757631.0,0,0,0
0.0,1569399758090.0,0,0,0
0.0,1569399758551.0,10,0,0
0.0,1569399759011.0,10,0,0
0.0,1569399759486.0,10,0,0
0.0,1569399759931.0,10,0,0
0.0,1569399760390.0,10,0,0
1.0,1569399760860.0,10,0,0
2.0,1569399761320.0,10,0,0
1.0,1569399761771.0,10,0,0
2.0,1569399762238.0,10,0,0
2.0,1569399762690.0,10,0,0
2.0,1569399763161.0,10,0,0
2.0,1569399763621.0,10,0,0
2.0,1569399764080.0,10,0,0
2.0,1569399764530.0,10,0,0
2.0,1569399764991.0,10,0,0
2.0,1569399765451.0,10,0,0
2.0,1569399765911.0,10,0,0
2.0,1569399766381.0,10,0,0
2.0,1569399766854.0,10,0,0
2.0,1569399767300.0,10,0,0
2.0,1569399767761.0,10,0,0
3.0,1569399768221.0,10,0,0
2.0,1569399768681.0,10,0,0
2.0,1569399769151.0,10,0,0
2.0,1569399769612.0,10,0,0
2.0,1569399770070.0,10,0,0
2.0,1569399770531.0,10,0,0
2.0,1569399770991.0,10,0,0
2.0,1569399771451.0,10,0,0
2.0,1569399771911.0,10,0,0
2.0,1569399772371.0,10,0,0
2.0,1569399772831.0,10,0,0
0.0,1569399773290.0,0,0,0
0.0,1569399773751.0,0,0,0
0.0,1569399774251.0,0,0,0
0.0,1569399774671.0,0,0,0
0.0,1569399775131.0,2,0,0
0.0,1569399775592.0,2,0,0
1.0,1569399776050.0,2,0,0
2.0,1569399776501.0,2,0,0
4.0,1569399776961.0,2,0,0
5.0,1569399777430.0,2,0,0
5.0,1569399777892.0,2,0,0
5.0,1569399778351.0,2,0,0
6.0,1569399778811.0,2,0,0
6.0,1569399779272.0,2,0,0
6.0,1569399779740.0,2,0,0
6.0,1569399780201.0,1,0,0
6.0,1569399780661.0,1,0,0
6.0,1569399781114.0,1,0,0
7.0,1569399781581.0,1,0,0
7.0,1569399782041.0,1,0,0
7.0,1569399782510.0,1,0,0
