DT_verticalAcc,Timestamp,Action,Bump,Traffic congestion
0.128,1569399748940.0,0,0,0
0.13,1569399749401.0,0,0,0
0.132,1569399749861.0,0,0,0
0.14,1569399750321.0,0,0,0
0.14,1569399750790.0,0,0,0
0.134,1569399751239.0,0,0,0
0.138,1569399751711.0,0,0,0
0.138,1569399752171.0,0,0,0
0.132,1569399752631.0,0,0,0
0.13,1569399753135.0,0,0,0
0.132,1569399753551.0,0,0,0
0.128,1569399754011.0,0,0,0
0.126,1569399754471.0,0,0,0
0.124,1569399754929.0,0,0,0
0.124,1569399755390.0,0,0,0
0.126,1569399755850.0,0,0,0
0.126,1569399756330.0,0,0,0
0.124,1569399756771.0,0,0,0
0.124,1569399757232.0,0,0,0
0.13,1569399757691.0,0,0,0
0.128,1569399758143.0,0,0,0
0.126,1569399758610.0,10,0,0
0.128,1569399759071.0,10,0,0
0.074,1569399759530.0,10,0,0
-0.37,1569399759991.0,10,0,0
-0.158,1569399760450.0,10,0,0
-0.404,1569399760912.0,10,0,0
-0.538,1569399761371.0,10,0,0
-0.16,1569399761830.0,10,0,0
-0.022,1569399762290.0,10,0,0
-0.066,1569399762751.0,10,0,0
-0.148,1569399763211.0,10,0,0
-0.088,1569399763701.0,10,0,0
0.182,1569399764130.0,10,0,0
0.264,1569399764591.0,10,0,0
0.156,1569399765041.0,10,0,0
0.034,1569399765501.0,10,0,0
0.092,1569399765971.0,10,0,0
0.068,1569399766431.0,10,0,0
-0.036000000000000004,1569399766891.0,10,0,0
0.248,1569399767350.0,10,0,0
0.34,1569399767821.0,10,0,0
-0.256,1569399768280.0,10,0,0
-0.252,1569399768741.0,10,0,0
0.042,1569399769201.0,10,0,0
0.04,1569399769661.0,10,0,0
0.02,1569399770121.0,10,0,0
-0.012,1569399770581.0,10,0,0
-0.094,1569399771075.0,10,0,0
-0.358,1569399771501.0,10,0,0
0.016,1569399771971.0,10,0,0
-0.356,1569399772431.0,10,0,0
-0.03,1569399772880.0,10,0,0
0.918,1569399773340.0,0,0,0
0.668,1569399773801.0,0,0,0
0.28800000000000003,1569399774261.0,0,0,0
0.11,1569399774720.0,0,0,0
0.038,1569399775181.0,2,0,0
0.076,1569399775641.0,2,0,0
0.722,1569399776101.0,2,0,0
1.482,1569399776561.0,2,0,0
1.616,1569399777021.0,2,0,0
1.264,1569399777485.0,2,0,0
0.742,1569399777941.0,2,0,0
0.362,1569399778401.0,2,0,0
0.186,1569399778861.0,2,0,0
0.11800000000000001,1569399779331.0,2,0,0
0.11800000000000001,1569399779790.0,2,0,0
0.136,1569399780261.0,1,0,0
0.188,1569399780711.0,1,0,0
0.244,1569399781171.0,1,0,0
0.29,1569399781671.0,1,0,0
0.372,1569399782101.0,1,0,0
0.446,1569399782561.0,1,0,0
0.494,1569399783021.0,1,0,0
0.436,1569399783481.0,1,0,0
0.372,1569399783943.0,1,0,0
0.352,1569399784401.0,1,0,0
0.382,1569399784861.0,1,0,0
0.428,1569399785321.0,1,0,0
0.388,1569399785791.0,1,0,0
0.14200000000000002,1569399786240.0,3,0,0
-0.01,1569399786701.0,3,0,0
-0.066,1569399787171.0,3,0,0
-0.128,1569399787631.0,3,0,0
-0.378,1569399788091.0,3,0,0
-0.632,1569399788551.0,3,0,0
-0.902,1569399789022.0,3,0,0
-1.332,1569399789471.0,3,0,0
-1.532,1569399789931.0,3,0,0
-1.362,1569399790401.0,3,0,0
-0.936,1569399790861.0,3,0,0
-0.542,1569399791321.0,3,0,0
-0.20800000000000002,1569399791781.0,3,0,0
0.012,1569399792241.0,1,0,0
0.14,1569399792702.0,1,0,0
0.232,1569399793171.0,1,0,0
0.28200000000000003,1569399793631.0,1,0,0
0.188,1569399794091.0,1,0,0
0.074,1569399794551.0,1,0,0
-0.002,1569399795011.0,1,0,0
-0.126,1569399795471.0,1,0,0
-0.394,1569399795931.0,1,0,0
-0.434,1569399796396.0,1,0,0
-0.222,1569399796851.0,1,0,0
-0.076,1569399797321.0,1,0,0
0.048,1569399797781.0,1,0,0
0.248,1569399798241.0,1,0,0
0.358,1569399798701.0,1,0,0
0.342,1569399799165.0,1,0,0
0.17400000000000002,1569399799621.0,1,0,0
0.028,1569399800081.0,1,0,0
-0.028,1569399800541.0,1,0,0
0.28400000000000003,1569399801001.0,1,0,0
0.59,1569399801461.0,2,0,0
0.618,1569399801921.0,2,0,0
0.438,1569399802381.0,2,0,0
0.216,1569399802840.0,2,0,0
0.10200000000000001,1569399803301.0,2,0,0
