DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
0.062,1569399748959.0,0,0,0
0.062,1569399749422.0,0,0,0
0.093,1569399749881.0,0,0,0
0.062,1569399750351.0,0,0,0
0.062,1569399750810.0,0,0,0
0.062,1569399751270.0,0,0,0
0.062,1569399751732.0,0,0,0
0.062,1569399752191.0,0,0,0
0.062,1569399752659.0,0,0,0
0.062,1569399753138.0,0,0,0
0.062,1569399753571.0,0,0,0
0.062,1569399754031.0,0,0,0
0.062,1569399754494.0,0,0,0
0.062,1569399754949.0,0,0,0
0.062,1569399755410.0,0,0,0
0.062,1569399755871.0,0,0,0
0.062,1569399756331.0,0,0,0
0.062,1569399756791.0,0,0,0
0.093,1569399757251.0,0,0,0
0.062,1569399757710.0,0,0,0
0.062,1569399758171.0,0,0,0
0.062,1569399758631.0,10,0,0
0.062,1569399759091.0,10,0,0
-0.34400000000000003,1569399759550.0,10,0,0
-0.032,1569399760011.0,10,0,0
-0.313,1569399760471.0,10,0,0
-0.313,1569399760931.0,10,0,0
-0.094,1569399761391.0,10,0,0
0.093,1569399761850.0,10,0,0
-0.063,1569399762310.0,10,0,0
-0.094,1569399762771.0,10,0,0
-0.094,1569399763236.0,10,0,0
0.187,1569399763702.0,10,0,0
0.156,1569399764151.0,10,0,0
0.093,1569399764612.0,10,0,0
-0.032,1569399765071.0,10,0,0
0.0,1569399765530.0,10,0,0
0.156,1569399765990.0,10,0,0
-0.157,1569399766461.0,10,0,0
0.187,1569399766920.0,10,0,0
0.312,1569399767371.0,10,0,0
-0.313,1569399767840.0,10,0,0
-0.188,1569399768300.0,10,0,0
0.25,1569399768761.0,10,0,0
0.0,1569399769221.0,10,0,0
0.0,1569399769691.0,10,0,0
-0.032,1569399770150.0,10,0,0
-0.063,1569399770601.0,10,0,0
-0.094,1569399771076.0,10,0,0
0.312,1569399771531.0,10,0,0
-0.40700000000000003,1569399771991.0,10,0,0
-0.157,1569399772452.0,10,0,0
0.718,1569399772911.0,10,0,0
0.656,1569399773361.0,0,0,0
-0.032,1569399773820.0,0,0,0
0.0,1569399774290.0,0,0,0
0.0,1569399774750.0,0,0,0
0.0,1569399775211.0,2,0,0
0.406,1569399775671.0,2,0,0
0.937,1569399776120.0,2,0,0
0.906,1569399776580.0,2,0,0
0.625,1569399777041.0,2,0,0
0.312,1569399777501.0,2,0,0
0.031,1569399777963.0,2,0,0
0.031,1569399778421.0,2,0,0
0.031,1569399778881.0,2,0,0
0.093,1569399779351.0,2,0,0
0.062,1569399779811.0,2,0,0
