accLateral_data,Timestamp,Action,Bump,Traffic congestion
-0.001,1576127715345,0,0,0
-0.001,1576127715795,0,0,0
-0.001,1576127716245,0,0,0
-0.002,1576127716695,0,0,0
0.0,1576127717145,0,0,0
-0.001,1576127717595,0,0,0
0.0,1576127718045,0,0,0
-0.001,1576127718495,0,0,0
-0.001,1576127718946,0,0,0
-0.001,1576127719395,0,0,0
0.0,1576127719845,0,0,0
0.0,1576127720295,0,0,0
-0.001,1576127720745,0,0,0
-0.001,1576127721195,0,0,0
0.0,1576127721645,4,0,0
-0.001,1576127722095,4,0,0
-0.001,1576127722545,4,0,0
-0.001,1576127722995,4,0,0
0.0,1576127723445,4,0,0
0.001,1576127723895,4,0,0
0.001,1576127724345,4,0,0
0.002,1576127724795,4,0,0
0.003,1576127725245,4,0,0
0.0,1576127725695,4,0,0
-0.004,1576127726145,4,0,0
-0.003,1576127726595,4,0,0
-0.006,1576127727045,4,0,0
-0.007,1576127727495,4,0,0
-0.008,1576127727945,4,0,0
-0.003,1576127728395,4,0,0
-0.003,1576127728845,4,0,0
0.0,1576127729295,4,0,0
-0.001,1576127729745,4,0,0
0.0,1576127730195,4,0,0
-0.005,1576127730645,4,0,0
-0.002,1576127731095,4,0,0
-0.005,1576127731545,4,0,0
-0.004,1576127731995,4,0,0
-0.001,1576127732445,4,0,0
-0.003,1576127732895,1,0,0
-0.004,1576127733345,1,0,0
-0.004,1576127733795,1,0,0
-0.004,1576127734245,1,0,0
-0.004,1576127734695,1,0,0
-0.004,1576127735145,1,0,0
-0.004,1576127735595,1,0,0
-0.005,1576127736045,1,0,0
-0.005,1576127736495,1,0,0
-0.005,1576127736945,1,0,0
-0.005,1576127737395,1,0,0
-0.004,1576127737845,1,0,0
-0.005,1576127738295,1,0,0
-0.005,1576127738745,1,0,0
-0.006,1576127739195,1,0,0
-0.004,1576127739645,1,0,0
-0.006,1576127740095,1,0,0
-0.007,1576127740545,1,0,0
-0.006,1576127740995,1,0,0
-0.005,1576127741445,1,0,0
-0.005,1576127741895,1,0,0
-0.004,1576127742345,1,0,0
-0.005,1576127742795,2,0,0
-0.005,1576127743245,2,0,0
-0.001,1576127743696,2,0,0
0.0,1576127744145,2,0,0
