rpm_data,Timestamp,Action,Bump,Traffic congestion
1403.5,1576134974572,4,0,0
1516.5,1576134975022,4,0,0
1670.5,1576134975472,4,0,0
1914.0,1576134975922,4,0,0
2157.5,1576134976372,4,0,0
2388.5,1576134976822,4,0,0
1910.0,1576134977272,4,0,0
1852.5,1576134977722,4,0,0
1884.5,1576134978172,4,0,0
1991.5,1576134978622,4,0,0
2092.0,1576134979072,4,0,0
2171.5,1576134979532,4,0,0
2124.0,1576134979982,1,0,0
2014.0,1576134980432,1,0,0
1941.0,1576134980882,1,0,0
1998.0,1576134981332,1,0,0
2028.5,1576134981782,1,0,0
2035.5,1576134982232,1,0,0
2053.0,1576134982682,1,0,0
2055.5,1576134983132,1,0,0
2065.0,1576134983582,1,0,0
2087.5,1576134984032,1,0,0
2016.5,1576134984482,1,0,0
1961.0,1576134984932,1,0,0
1943.5,1576134985382,1,0,0
1960.5,1576134985832,1,0,0
1977.5,1576134986282,1,0,0
2134.0,1576134986732,1,0,0
2211.0,1576134987182,1,0,0
2206.5,1576134987632,1,0,0
2074.5,1576134988082,1,0,0
1919.5,1576134988532,1,0,0
1347.0,1576134988982,1,0,0
1381.5,1576134989432,1,0,0
1419.5,1576134989882,1,0,0
1455.5,1576134990332,1,0,0
1472.0,1576134990782,1,0,0
1480.0,1576134991232,1,0,0
1489.0,1576134991682,1,0,0
1503.0,1576134992132,1,0,0
1526.0,1576134992582,1,0,0
1535.0,1576134993032,1,0,0
1537.5,1576134993482,1,0,0
1546.0,1576134993932,1,0,0
1548.5,1576134994382,1,0,0
1558.0,1576134994832,1,0,0
1559.5,1576134995282,1,0,0
1568.0,1576134995732,1,0,0
1476.5,1576134996182,1,0,0
1358.0,1576134996632,1,0,0
1436.5,1576134997082,1,0,0
1588.5,1576134997532,1,0,0
1551.0,1576134997982,1,0,0
1602.0,1576134998432,1,0,0
1767.0,1576134998882,1,0,0
1845.5,1576134999332,1,0,0
1752.5,1576134999782,1,0,0
1526.0,1576135000232,1,0,0
