X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Gyroscope,Y-axis Gyroscope,Z-axis Gyroscope, Timestamp,Action,BUMP,Traffic congestion
-0.124498, 0.184353, 8.259995, -3.473205, 1.623156, -2.268928, 1576139953701,0,0,0
-0.325611, 0.213083, 8.686163, -4.415683, 2.460914, -2.49582, 1576139953753,0,0,0
-0.277727, 0.129286, 8.664615, -2.356194, -1.466076, -1.867502, 1576139953806,0,0,0
-0.05746, 0.138863, 8.240842, -2.635447, -0.925024, -2.076941, 1576139953858,0,0,0
-0.174776, 0.229843, 8.33661, -4.520402, 1.797689, -2.356194, 1576139953910,0,0,0
-0.330399, 0.011971, 8.652644, -3.019419, -0.628318, -1.832595, 1576139953963,0,0,0
-0.131681, 0.232237, 8.638279, -1.884955, -2.216568, -2.181661, 1576139954015,0,0,0
-0.26815, 0.253785, 8.408436, -4.153883, 2.740166, -2.827433, 1576139954067,0,0,0
-0.418985, 0.033518, 8.796297, -3.804817, 1.11701, -2.268928, 1576139954119,0,0,0
-0.141257, 0.198718, 8.532934, -1.762782, -2.44346, -2.076941, 1576139954172,0,0,0
-0.22266, 0.227449, 8.303091, -3.159045, 1.466076, -2.513274, 1576139954224,0,0,0
-0.368707, 0.124498, 8.628702, -4.398229, 1.291543, -2.111848, 1576139954276,0,0,0
-0.205901, 0.158017, 8.793902, -2.356194, -1.658062, -1.797689, 1576139954328,0,0,0
-0.155623, 0.160411, 8.310274, -2.146754, -1.151917, -2.321287, 1576139954381,0,0,0
-0.272938, 0.098162, 8.554482, -3.996803, 2.356194, -2.303834, 1576139954433,0,0,0
-0.347159, 0.069431, 8.760384, -3.176499, -0.069813, -2.286381, 1576139954485,0,0,0
-0.210689, 0.172382, 8.623914, -1.553343, -2.094395, -1.902408, 1576139954537,0,0,0
-0.282515, 0.134075, 8.458714, -4.206243, 2.583087, -1.919862, 1576139954590,0,0,0
-0.344765, 0.059855, 8.901641, -4.014257, 0.471238, -2.111848, 1576139954642,0,0,0
-0.153228, 0.174776, 8.504204, -1.675516, -2.321287, -2.111848, 1576139954694,0,0,0
-0.155623, 0.162805, 8.374917, -3.473205, 1.134464, -1.867502, 1576139954746,0,0,0
-0.256179, 0.205901, 8.911218, -4.380776, 1.640609, -2.251474, 1576139954799,0,0,0
-0.203507, 0.146046, 8.777143, -2.234021, -2.007128, -2.146754, 1576139954851,0,0,0
-0.189141, 0.191536, 8.283937, -2.70526, -1.22173, -1.797689, 1576139954903,0,0,0
-0.158017, 0.162805, 8.671798, -4.049163, 1.047197, -2.164208, 1576139954955,0,0,0
-0.397437, 0.045489, 8.937554, -3.141592, -1.134464, -2.199114, 1576139955008,0,0,0
-0.162805, 0.220266, 8.542511, -2.216568, -1.884955, -2.042035, 1576139955060,0,0,0
-0.205901, 0.174776, 8.738836, -3.839724, 1.588249, -2.076941, 1576139955112,0,0,0
-0.292092, 0.021547, 8.95192, -4.08407, 0.453785, -2.234021, 1576139955164,0,0,0
-0.047884, 0.457292, 9.232041, -9.843656, 8.395033, -0.907571, 1576139955225,0,0,0
-0.059855, 0.428562, 7.639897, -4.258603, 4.363323, -2.076941, 1576139955278,0,0,0
-0.402225, 0.040701, 9.07163, -4.101523, 2.216568, -2.356194, 1576139955330,0,0,0
-0.323217, 0.19393, 8.573636, -2.286381, -3.019419, -1.954768, 1576139955382,0,0,0
-0.150834, 0.141257, 8.401253, -4.18879, 1.850049, -2.111848, 1576139955434,0,0,0
-0.349553, 0.0, 8.808268, -3.595378, 0.261799, -1.727875, 1576139955487,0,0,0
-0.059855, 0.217872, 8.753201, -2.181661, -1.850049, -2.234021, 1576139955539,0,0,0
-0.244208, 0.234631, 8.652644, -4.101523, 2.478367, -2.513274, 1576139955592,0,0,0
-0.366312, 0.009576, 8.856152, -4.101523, 1.867502, -2.216568, 1576139955644,0,0,0
-0.136469, 0.22266, 8.676586, -2.181661, -2.111848, -1.972222, 1576139955697,0,0,0
-0.17717, 0.165199, 8.391676, -3.752457, 1.535889, -2.391101, 1576139955749,0,0,0
-0.22266, 0.160411, 8.757989, -3.944444, 1.11701, -2.234021, 1576139955801,0,0,0
-0.186747, 0.184353, 8.772355, -2.827433, -1.483529, -2.111848, 1576139955853,0,0,0
-0.208295, 0.169988, 8.298303, -2.635447, 0.383972, -2.356194, 1576139955906,0,0,0
-0.35913, 0.14844, 8.774749, -3.752457, 2.234021, -2.338741, 1576139955958,0,0,0
-0.325611, 0.047884, 8.734047, -3.298672, -0.226892, -1.815142, 1576139956011,0,0,0
-0.241814, 0.100556, 8.305485, -3.612831, 1.22173, -2.49582, 1576139956063,0,0,0
-0.323217, 0.158017, 8.571242, -3.630284, 2.984513, -2.199114, 1576139956115,0,0,0
-0.450109, 0.122104, 8.676586, -2.70526, -0.436332, -2.321287, 1576139956167,0,0,0
-0.23942, 0.23942, 8.367734, -2.617993, -0.279252, -2.44346, 1576139956220,0,0,0
-0.205901, 0.105344, 8.231265, -3.420845, 2.897246, -1.989675, 1576139956272,0,0,0
-0.445321, 0.067037, 8.611943, -3.438298, 1.099557, -2.338741, 1576139956325,0,0,0
-0.10295, 0.141257, 8.544905, -2.024581, -2.216568, -2.216568, 1576139956377,0,0,0
-0.17717, 0.22266, 8.195352, -4.206243, 2.932153, -2.251474, 1576139956429,0,0,0
-0.373495, 0.05746, 8.686163, -3.595378, 1.082104, -2.268928, 1576139956481,0,0,0
-0.232237, 0.107739, 8.717288, -2.426007, -1.256637, -2.129301, 1576139956534,0,0,0
-0.155623, 0.172382, 8.224082, -3.438298, 1.27409, -2.094395, 1576139956586,0,0,0
-0.265756, 0.201112, 8.69574, -4.049163, 1.483529, -2.164208, 1576139956639,0,0,0
-0.347159, 0.02873, 8.619126, -2.44346, -1.500983, -2.164208, 1576139956691,0,0,0
-0.143652, 0.203507, 8.20014, -2.565634, -0.523598, -2.129301, 1576139956746,0,0,0
-0.325611, 0.158017, 8.700528, -4.24115, 1.727875, -2.321287, 1576139956798,0,0,0
-0.277727, 0.007182, 8.714894, -2.775073, -0.296705, -1.954768, 1576139956850,0,0,0
-0.220266, 0.134075, 8.190564, -3.071779, 0.069813, -2.565634, 1576139956903,0,0,0
-0.335188, 0.217872, 8.60476, -3.909537, 2.426007, -2.024581, 1576139956955,0,0,0
-0.375889, 0.007182, 8.662221, -2.932153, -0.785398, -2.234021, 1576139957007,0,0,0
-0.095768, 0.265756, 8.303091, -2.094395, -1.884955, -1.972222, 1576139957060,0,0,0
-0.196324, 0.179565, 8.293514, -3.735004, 1.884955, -2.094395, 1576139957112,0,0,0
-0.407014, 0.038307, 8.698134, -3.054326, -0.087266, -2.373647, 1576139957165,0,0,0
-0.122104, 0.237025, 8.492233, -1.850049, -2.094395, -1.972222, 1576139957217,0,0,0
-0.225054, 0.169988, 8.355763, -4.101523, 2.879793, -2.059488, 1576139957269,0,0,0
-0.383072, 0.126892, 8.688557, -3.665191, 0.750491, -1.745329, 1576139957322,0,0,0
