accVertical_data,Timestamp,Action,Bump,Traffic congestion
0.314,1576139951472,0,0,0
0.314,1576139951922,0,0,0
0.312,1576139952372,0,0,0
0.312,1576139952822,0,0,0
0.314,1576139953272,0,0,0
0.312,1576139953722,0,0,0
0.312,1576139954172,0,0,0
0.312,1576139954622,0,0,0
0.314,1576139955072,0,0,0
0.312,1576139955523,0,0,0
0.314,1576139955993,0,0,0
0.314,1576139956442,0,0,0
0.314,1576139956892,0,0,0
0.314,1576139957342,0,0,0
0.318,1576139957792,0,0,0
0.316,1576139958242,0,0,0
0.314,1576139958692,0,0,0
0.312,1576139959142,0,0,0
0.312,1576139959592,0,0,0
0.312,1576139960042,0,0,0
0.312,1576139960492,0,0,0
0.312,1576139960942,0,0,0
0.312,1576139961392,0,0,0
0.312,1576139961842,0,0,0
0.312,1576139962292,0,0,0
0.312,1576139962742,0,0,0
0.312,1576139963192,0,0,0
0.312,1576139963642,0,0,0
0.312,1576139964092,0,0,0
0.312,1576139964542,0,0,0
0.312,1576139964992,0,0,0
0.318,1576139965442,0,0,0
0.322,1576139965892,0,0,0
0.318,1576139966342,0,0,0
0.314,1576139966792,0,0,0
0.312,1576139967242,0,0,0
0.324,1576139967692,0,0,0
0.322,1576139968142,0,0,0
0.316,1576139968592,0,0,0
0.316,1576139969042,0,0,0
0.314,1576139969492,0,0,0
0.316,1576139969942,0,0,0
0.32,1576139970392,0,0,0
0.32,1576139970842,0,0,0
0.324,1576139971292,0,0,0
0.332,1576139971742,0,0,0
0.33,1576139972192,0,0,0
0.332,1576139972642,0,0,0
0.326,1576139973092,0,0,0
0.322,1576139973542,0,0,0
0.316,1576139973992,0,0,0
0.322,1576139974442,0,0,0
0.322,1576139974892,0,0,0
0.328,1576139975342,0,0,0
0.328,1576139975792,0,0,0
0.326,1576139976242,0,0,0
0.318,1576139976692,0,0,0
0.314,1576139977142,0,0,0
0.312,1576139977592,0,0,0
0.316,1576139978042,0,0,0
0.328,1576139978492,0,0,0
0.324,1576139978942,0,0,0
0.318,1576139979392,0,0,0
0.324,1576139979842,0,0,0
0.32,1576139980292,0,0,0
0.316,1576139980742,0,0,0
0.318,1576139981192,0,0,0
0.324,1576139981644,0,0,0
0.324,1576139982093,0,0,0
0.326,1576139982543,0,0,0
0.328,1576139982993,0,0,0
0.322,1576139983443,0,0,0
0.316,1576139983893,0,0,0
0.316,1576139984343,0,0,0
0.314,1576139984793,0,0,0
0.318,1576139985243,0,0,0
0.326,1576139985693,0,0,0
0.326,1576139986143,0,0,0
0.332,1576139986593,0,0,0
0.332,1576139987043,0,0,0
0.322,1576139987493,0,0,0
0.32,1576139987943,0,0,0
0.32,1576139988393,0,0,0
0.322,1576139988843,0,0,0
0.33,1576139989293,0,0,0
0.324,1576139989743,0,0,0
0.322,1576139990193,0,0,0
0.328,1576139990643,0,0,0
0.324,1576139991093,0,0,0
0.322,1576139991543,0,0,0
0.32,1576139991993,0,0,0
0.318,1576139992443,0,0,0
0.324,1576139992893,0,0,0
0.326,1576139993343,0,0,0
0.326,1576139993793,0,0,0
0.322,1576139994243,0,0,0
0.316,1576139994693,0,0,0
0.314,1576139995143,0,0,0
0.314,1576139995593,0,0,0
0.312,1576139996043,0,0,0
0.312,1576139996493,0,0,0
0.314,1576139996943,0,0,0
0.314,1576139997393,0,0,0
0.32,1576139997843,0,0,0
0.318,1576139998293,0,0,0
0.316,1576139998743,0,0,0
0.314,1576139999193,0,0,0
0.318,1576139999643,0,0,0
0.316,1576140000093,0,0,0
0.314,1576140000543,0,0,0
0.312,1576140000993,0,0,0
0.312,1576140001443,0,0,0
0.312,1576140001893,0,0,0
0.318,1576140002343,0,0,0
0.314,1576140002793,0,0,0
0.322,1576140003243,0,0,0
0.318,1576140003693,0,0,0
0.316,1576140004143,0,0,0
0.316,1576140004593,0,0,0
0.322,1576140005043,0,0,0
0.324,1576140005493,0,0,0
0.322,1576140005943,0,0,0
0.316,1576140006393,0,0,0
