acceleration_data,Timestamp,Action,Bump,Traffic congestion
0.317,1577001465956,3,0,0
0.29,1577001466446,3,0,0
0.063,1577001466896,3,0,0
-0.301,1577001467386,3,0,0
-0.101,1577001467836,3,0,0
0.465,1577001468326,3,0,0
0.42,1577001468776,3,0,0
0.186,1577001469276,3,0,0
0.20700000000000002,1577001469726,3,0,0
0.41500000000000004,1577001470216,3,0,0
0.505,1577001470666,3,0,0
0.354,1577001471166,3,0,0
0.059000000000000004,1577001471616,3,0,0
-0.14,1577001472106,3,0,0
-0.14100000000000001,1577001472556,3,0,0
0.124,1577001473046,3,0,0
0.495,1577001473496,3,0,0
0.428,1577001473986,3,0,0
0.14300000000000002,1577001474436,3,0,0
0.171,1577001474926,3,0,0
0.505,1577001475376,3,0,0
0.727,1577001475866,3,0,0
0.535,1577001476316,3,0,0
0.329,1577001476806,3,0,0
0.242,1577001477256,1,0,0
0.341,1577001477756,1,0,0
0.5,1577001478206,1,0,0
0.635,1577001478696,1,0,0
0.676,1577001479156,1,0,0
0.426,1577001479646,1,0,0
0.20700000000000002,1577001480096,1,0,0
0.257,1577001480586,1,0,0
0.224,1577001481036,1,0,0
-0.088,1577001481526,1,0,0
-0.149,1577001481976,1,0,0
0.001,1577001482466,1,0,0
0.129,1577001482916,1,0,0
0.214,1577001483406,1,0,0
0.222,1577001483867,1,0,0
0.012,1577001484356,1,0,0
-0.261,1577001484816,1,0,0
-0.34700000000000003,1577001485306,9,0,0
-0.114,1577001485836,9,0,0
0.105,1577001486326,9,0,0
0.019,1577001486776,9,0,0
-0.212,1577001487267,9,0,0
-0.108,1577001487716,9,0,0
0.14,1577001488206,9,0,0
0.378,1577001488656,9,0,0
0.493,1577001489156,9,0,0
0.547,1577001489607,9,0,0
0.516,1577001490096,9,0,0
0.438,1577001490546,9,0,0
0.41000000000000003,1577001491036,9,0,0
0.329,1577001491487,9,0,0
0.163,1577001491976,9,0,0
-0.14400000000000002,1577001492427,9,0,0
-0.191,1577001492916,9,0,0
-0.11,1577001493366,9,0,0
-0.011,1577001493856,9,0,0
0.009000000000000001,1577001494306,9,0,0
0.005,1577001494796,9,0,0
0.019,1577001495247,9,0,0
0.041,1577001495736,9,0,0
0.063,1577001496186,9,0,0
0.042,1577001496676,9,0,0
0.042,1577001497126,9,0,0
0.035,1577001497616,9,0,0
0.029,1577001498068,9,0,0
0.022,1577001498556,1,0,0
0.051000000000000004,1577001499006,1,0,0
0.038,1577001499496,1,0,0
-0.082,1577001499947,1,0,0
-0.154,1577001500436,1,0,0
-0.14,1577001500896,1,0,0
-0.085,1577001501386,1,0,0
-0.059000000000000004,1577001501836,1,0,0
-0.146,1577001502326,1,0,0
-0.34500000000000003,1577001502778,1,0,0
-0.329,1577001503268,1,0,0
-0.184,1577001503716,4,0,0
-0.07,1577001504216,4,0,0
0.01,1577001504667,4,0,0
0.039,1577001505166,4,0,0
0.056,1577001505616,4,0,0
0.051000000000000004,1577001506116,4,0,0
0.062,1577001506566,4,0,0
0.031,1577001507056,4,0,0
0.047,1577001507506,4,0,0
0.046,1577001507996,4,0,0
0.044,1577001508446,4,0,0
0.057,1577001508936,4,0,0
0.059000000000000004,1577001509386,4,0,0
0.081,1577001509876,1,0,0
0.097,1577001510326,1,0,0
0.105,1577001510816,1,0,0
0.096,1577001511267,1,0,0
0.098,1577001511776,1,0,0
0.2,1577001512226,1,0,0
0.268,1577001512716,1,0,0
0.294,1577001513166,1,0,0
0.25,1577001513656,1,0,0
0.231,1577001514106,1,0,0
0.25,1577001514596,1,0,0
0.199,1577001515056,1,0,0
0.21,1577001515546,1,0,0
0.234,1577001515996,1,0,0
0.224,1577001516496,1,0,0
0.277,1577001516936,1,0,0
0.28200000000000003,1577001517436,1,0,0
0.20500000000000002,1577001517886,1,0,0
-0.209,1577001518376,1,0,0
-0.395,1577001518826,1,0,0
-0.37,1577001519316,1,0,0
-0.178,1577001519766,1,0,0
-0.042,1577001520256,1,0,0
0.085,1577001520706,1,0,0
0.156,1577001521196,1,0,0
0.138,1577001521646,1,0,0
0.294,1577001522136,1,0,0
0.28600000000000003,1577001522576,1,0,0
0.252,1577001523066,1,0,0
0.264,1577001523516,1,0,0
0.298,1577001524006,1,0,0
0.274,1577001524456,1,0,0
0.367,1577001524946,1,0,0
0.329,1577001525396,1,0,0
0.275,1577001525886,1,0,0
0.192,1577001526326,1,0,0
0.138,1577001526816,1,0,0
0.147,1577001527266,1,0,0
0.23,1577001527756,1,0,0
0.019,1577001528206,1,0,0
-0.37,1577001528696,1,0,0
-0.154,1577001529146,1,0,0
0.049,1577001529636,1,0,0
0.245,1577001530086,1,0,0
0.321,1577001530576,1,0,0
0.439,1577001531016,1,0,0
0.377,1577001531506,1,0,0
0.44,1577001531956,1,0,0
0.398,1577001532446,1,0,0
0.432,1577001532886,1,0,0
0.483,1577001533376,1,0,0
0.484,1577001533816,1,0,0
0.47500000000000003,1577001534306,1,0,0
0.502,1577001534756,1,0,0
0.508,1577001535246,1,0,0
0.525,1577001535696,1,0,0
0.612,1577001536186,1,0,0
0.355,1577001536636,1,0,0
-0.009000000000000001,1577001537126,1,0,0
-0.297,1577001537586,1,0,0
-0.177,1577001538076,1,0,0
0.076,1577001538527,1,0,0
0.213,1577001539016,1,0,0
0.227,1577001539466,1,0,0
0.32,1577001539956,1,0,0
0.365,1577001540396,1,0,0
0.336,1577001540886,1,0,0
0.381,1577001541326,1,0,0
0.36,1577001541816,1,0,0
0.057,1577001542266,1,0,0
-0.089,1577001542756,1,0,0
-0.004,1577001543206,1,0,0
0.11,1577001543696,1,0,0
0.21,1577001544156,1,0,0
0.278,1577001544656,1,0,0
0.254,1577001545106,1,0,0
0.266,1577001545596,1,0,0
0.269,1577001546046,1,0,0
0.281,1577001546536,1,0,0
0.309,1577001546976,1,0,0
0.308,1577001547466,1,0,0
0.28400000000000003,1577001547906,1,0,0
0.268,1577001548396,1,0,0
0.28300000000000003,1577001548836,1,0,0
0.256,1577001549326,1,0,0
0.254,1577001549776,1,0,0
0.293,1577001550266,1,0,0
0.299,1577001550716,1,0,0
0.25,1577001551206,1,0,0
0.25,1577001551656,1,0,0
0.23700000000000002,1577001552146,1,0,0
0.015,1577001552596,1,0,0
-0.277,1577001553086,1,0,0
-0.382,1577001553526,1,0,0
-0.497,1577001554016,1,0,0
-0.544,1577001554466,1,0,0
-0.641,1577001554956,1,0,0
-0.648,1577001555396,1,0,0
-0.644,1577001555886,1,0,0
-0.5630000000000001,1577001556336,1,0,0
-0.581,1577001556826,1,0,0
-0.559,1577001557276,1,0,0
-0.511,1577001557776,1,0,0
-0.47000000000000003,1577001558216,1,0,0
-0.394,1577001558706,1,0,0
-0.38,1577001559155,1,0,0
-0.421,1577001559646,1,0,0
-0.508,1577001560096,1,0,0
-0.544,1577001560586,1,0,0
-0.553,1577001561026,1,0,0
-0.592,1577001561516,1,0,0
-0.5630000000000001,1577001561956,1,0,0
-0.58,1577001562446,1,0,0
-0.561,1577001562895,1,0,0
-0.588,1577001563386,1,0,0
-0.596,1577001563826,1,0,0
-0.461,1577001564316,1,0,0
-0.298,1577001564755,1,0,0
-0.193,1577001565246,1,0,0
-0.253,1577001565696,5,0,0
-0.34,1577001566186,5,0,0
-0.367,1577001566636,5,0,0
-0.309,1577001567126,5,0,0
-0.194,1577001567576,5,0,0
-0.08700000000000001,1577001568066,5,0,0
-0.019,1577001568515,5,0,0
0.053,1577001569006,5,0,0
0.157,1577001569455,5,0,0
0.182,1577001569945,5,0,0
0.251,1577001570395,5,0,0
0.321,1577001570886,1,0,0
0.354,1577001571326,1,0,0
0.366,1577001571815,1,0,0
0.377,1577001572255,1,0,0
0.391,1577001572746,1,0,0
0.41500000000000004,1577001573186,1,0,0
0.32,1577001573675,1,0,0
0.062,1577001574126,1,0,0
-0.077,1577001574616,1,0,0
-0.058,1577001575056,1,0,0
0.001,1577001575546,1,0,0
-0.023,1577001575986,1,0,0
-0.269,1577001576476,1,0,0
-0.449,1577001576916,1,0,0
-0.375,1577001577406,1,0,0
-0.294,1577001577856,1,0,0
-0.17300000000000001,1577001578346,1,0,0
-0.163,1577001578796,1,0,0
-0.114,1577001579286,1,0,0
-0.095,1577001579726,1,0,0
-0.123,1577001580226,1,0,0
-0.106,1577001580666,1,0,0
-0.093,1577001581156,1,0,0
-0.101,1577001581596,1,0,0
-0.108,1577001582086,1,0,0
-0.10400000000000001,1577001582526,1,0,0
-0.09,1577001583016,1,0,0
-0.19,1577001583456,1,0,0
-0.34,1577001583946,1,0,0
-0.318,1577001584386,1,0,0
-0.21,1577001584876,1,0,0
-0.153,1577001585316,1,0,0
-0.054,1577001585806,1,0,0
