brake_data,Timestamp,Action,Bump,Traffic congestion
1.5,1577264087442,0,0,0
0.93,1577264087892,0,0,0
0.03,1577264088342,0,0,0
0.0,1577264088792,10,0,0
0.0,1577264089202,10,0,0
0.0,1577264089663,10,0,0
0.0,1577264090112,10,0,0
655.33,1577264090563,10,0,0
0.0,1577264091012,10,0,0
0.0,1577264091463,10,0,0
0.0,1577264091912,10,0,0
0.09,1577264092363,10,0,0
0.15,1577264092812,10,0,0
0.24,1577264093262,10,0,0
0.06,1577264093712,10,0,0
0.06,1577264094163,10,0,0
0.06,1577264094612,10,0,0
0.09,1577264095062,10,0,0
0.09,1577264095512,10,0,0
0.09,1577264095963,10,0,0
0.21,1577264096412,10,0,0
0.15,1577264096863,10,0,0
0.0,1577264097312,10,0,0
0.06,1577264097762,10,0,0
0.18,1577264098212,10,0,0
0.18,1577264098663,10,0,0
0.15,1577264099112,10,0,0
0.48,1577264099563,10,0,0
0.54,1577264100012,10,0,0
0.69,1577264100462,10,0,0
1.56,1577264100912,10,0,0
1.83,1577264101363,0,0,0
2.04,1577264101812,0,0,0
2.07,1577264102262,0,0,0
1.08,1577264102712,0,0,0
0.0,1577264103162,0,0,0
0.0,1577264103612,0,0,0
0.0,1577264104063,-1,0,0
0.0,1577264104512,-1,0,0
0.0,1577264104962,-1,0,0
0.0,1577264105432,-1,0,0
0.0,1577264105882,-1,0,0
0.0,1577264106332,-1,0,0
0.0,1577264106782,-1,0,0
0.0,1577264107232,-1,0,0
0.0,1577264107682,-1,0,0
0.0,1577264108132,-1,0,0
0.0,1577264108582,-1,0,0
0.0,1577264109032,-1,0,0
0.0,1577264109482,-1,0,0
0.0,1577264109932,-1,0,0
0.0,1577264110382,-1,0,0
0.0,1577264110832,-1,0,0
0.0,1577264111282,-1,0,0
0.0,1577264111732,-1,0,0
0.0,1577264112182,-1,0,0
0.0,1577264112632,-1,0,0
0.0,1577264113082,-1,0,0
0.0,1577264113532,-1,0,0
0.0,1577264113982,-1,0,0
0.0,1577264114432,-1,0,0
0.0,1577264114882,-1,0,0
0.0,1577264115333,-1,0,0
0.0,1577264115782,-1,0,0
0.0,1577264116232,-1,0,0
0.0,1577264116682,-1,0,0
0.0,1577264117132,-1,0,0
0.0,1577264117582,-1,0,0
0.0,1577264118032,-1,0,0
0.0,1577264118482,-1,0,0
0.0,1577264118932,-1,0,0
0.0,1577264119382,-1,0,0
0.0,1577264119832,-1,0,0
0.0,1577264120282,-1,0,0
0.0,1577264120732,-1,0,0
0.0,1577264121182,5,0,0
0.0,1577264121632,5,0,0
0.0,1577264122082,5,0,0
0.0,1577264122532,5,0,0
0.0,1577264122982,5,0,0
0.0,1577264123432,5,0,0
0.0,1577264123882,5,0,0
0.0,1577264124332,5,0,0
0.0,1577264124782,5,0,0
0.0,1577264125232,5,0,0
0.0,1577264125682,5,0,0
0.0,1577264126132,5,0,0
0.0,1577264126582,5,0,0
0.0,1577264127032,5,0,0
0.0,1577264127482,5,0,0
0.0,1577264127932,5,0,0
0.0,1577264128382,5,0,0
0.0,1577264128832,5,0,0
0.0,1577264129282,5,0,0
0.0,1577264129732,5,0,0
0.0,1577264130182,5,0,0
0.0,1577264130632,5,0,0
0.0,1577264131082,5,0,0
0.0,1577264131532,5,0,0
0.0,1577264131972,5,0,0
0.0,1577264132422,-1,0,0
0.0,1577264132872,-1,0,0
0.0,1577264133322,-1,0,0
0.0,1577264133772,-1,0,0
0.0,1577264134223,-1,0,0
0.0,1577264134672,-1,0,0
0.0,1577264135122,-1,0,0
0.0,1577264135572,-1,0,0
0.0,1577264136023,-1,0,0
0.0,1577264136473,-1,0,0
0.0,1577264136923,-1,0,0
0.0,1577264137373,-1,0,0
0.0,1577264137823,-1,0,0
0.0,1577264138273,-1,0,0
0.0,1577264138722,-1,0,0
0.0,1577264139173,-1,0,0
0.0,1577264139622,2,0,0
0.0,1577264140073,2,0,0
0.0,1577264140542,2,0,0
0.0,1577264140993,2,0,0
0.0,1577264141442,2,0,0
0.0,1577264141883,2,0,0
0.0,1577264142322,2,0,0
0.0,1577264142793,2,0,0
0.0,1577264143262,2,0,0
0.0,1577264143712,2,0,0
0.0,1577264144142,2,0,0
0.0,1577264144593,2,0,0
0.0,1577264145043,2,0,0
0.0,1577264145502,2,0,0
0.0,1577264145972,2,0,0
0.0,1577264146432,2,0,0
0.0,1577264146802,2,0,0
0.0,1577264147253,2,0,0
0.0,1577264147722,2,0,0
0.0,1577264148202,2,0,0
0.0,1577264148652,2,0,0
0.0,1577264149073,2,0,0
0.0,1577264149532,2,0,0
0.0,1577264149983,2,0,0
0.0,1577264150432,2,0,0
0.0,1577264150912,2,0,0
0.0,1577264151362,2,0,0
0.0,1577264151812,2,0,0
0.0,1577264152263,2,0,0
0.0,1577264152712,2,0,0
0.0,1577264153163,2,0,0
0.0,1577264153612,2,0,0
0.0,1577264154063,2,0,0
0.0,1577264154512,2,0,0
0.0,1577264154963,2,0,0
0.0,1577264155412,2,0,0
0.0,1577264155863,1,0,0
0.0,1577264156313,1,0,0
0.0,1577264156763,1,0,0
0.0,1577264157212,1,0,0
0.0,1577264157663,1,0,0
0.0,1577264158112,1,0,0
0.0,1577264158563,1,0,0
0.0,1577264159012,1,0,0
0.0,1577264159463,1,0,0
0.0,1577264159913,1,0,0
0.0,1577264160363,1,0,0
0.0,1577264160812,1,0,0
0.0,1577264161263,1,0,0
0.0,1577264161713,1,0,0
0.0,1577264162162,1,0,0
0.0,1577264162613,1,0,0
0.03,1577264163062,1,0,0
0.03,1577264163512,-1,0,0
0.06,1577264163962,-1,0,0
0.15,1577264164412,-1,0,0
0.18,1577264164863,-1,0,0
0.3,1577264165313,-1,0,0
0.45,1577264165762,-1,0,0
655.3,1577264166212,-1,0,0
0.0,1577264166662,-1,0,0
0.0,1577264167113,-1,0,0
0.0,1577264167502,-1,0,0
0.0,1577264167952,-1,0,0
0.0,1577264168402,-1,0,0
0.0,1577264168852,-1,0,0
0.0,1577264169302,5,0,0
0.0,1577264169752,5,0,0
0.0,1577264170202,5,0,0
0.0,1577264170652,5,0,0
0.0,1577264171102,5,0,0
0.0,1577264171552,5,0,0
0.0,1577264172002,5,0,0
0.0,1577264172452,5,0,0
0.0,1577264172902,5,0,0
0.0,1577264173352,5,0,0
0.0,1577264173803,5,0,0
0.0,1577264174252,5,0,0
0.0,1577264174702,5,0,0
0.0,1577264175153,5,0,0
0.0,1577264175602,1,0,0
0.0,1577264176053,1,0,0
0.0,1577264176502,1,0,0
0.0,1577264176953,1,0,0
0.0,1577264177402,1,0,0
0.0,1577264177852,1,0,0
0.0,1577264178303,1,0,0
0.0,1577264178753,1,0,0
0.0,1577264179203,1,0,0
0.0,1577264179652,1,0,0
0.0,1577264180102,1,0,0
0.03,1577264180552,1,0,0
0.72,1577264181002,1,0,0
0.18,1577264181452,1,0,0
0.18,1577264181902,1,0,0
0.0,1577264182352,1,0,0
0.0,1577264182803,1,0,0
0.0,1577264183253,1,0,0
0.09,1577264183703,1,0,0
0.0,1577264184152,1,0,0
0.06,1577264184603,1,0,0
0.09,1577264185052,1,0,0
0.0,1577264185503,1,0,0
0.0,1577264185953,1,0,0
0.0,1577264186402,1,0,0
0.0,1577264186852,1,0,0
0.0,1577264187303,1,0,0
0.0,1577264187752,1,0,0
0.03,1577264188203,1,0,0
0.03,1577264188653,1,0,0
0.09,1577264189103,1,0,0
0.12,1577264189553,1,0,0
0.24,1577264190003,1,0,0
0.42,1577264190452,1,0,0
0.51,1577264190903,1,0,0
0.63,1577264191353,1,0,0
0.63,1577264191803,1,0,0
0.75,1577264192253,1,0,0
0.66,1577264192703,1,0,0
0.54,1577264193153,1,0,0
0.03,1577264193603,1,0,0
0.06,1577264194052,1,0,0
0.24,1577264194503,1,0,0
0.6,1577264194953,1,0,0
1.14,1577264195402,1,0,0
0.24,1577264195852,1,0,0
0.15,1577264196302,1,0,0
0.42,1577264196752,1,0,0
0.75,1577264197202,1,0,0
0.69,1577264197652,1,0,0
0.78,1577264198102,1,0,0
1.05,1577264198552,1,0,0
1.14,1577264199002,1,0,0
1.11,1577264199452,1,0,0
0.69,1577264199902,1,0,0
0.69,1577264200352,1,0,0
1.44,1577264200802,1,0,0
0.81,1577264201252,1,0,0
0.48,1577264201702,1,0,0
0.54,1577264202152,-1,1,0
0.66,1577264202602,-1,1,0
0.99,1577264203052,-1,1,0
1.02,1577264203502,-1,1,0
0.66,1577264203952,-1,1,0
0.36,1577264204402,-1,1,0
0.45,1577264204852,-1,1,0
0.69,1577264205303,-1,1,0
0.72,1577264205752,-1,1,0
0.57,1577264206202,-1,1,0
1.17,1577264206652,-1,1,0
1.44,1577264207102,-1,1,0
1.44,1577264207552,-1,1,0
2.13,1577264208002,-1,1,0
4.11,1577264208452,-1,1,0
4.08,1577264208902,0,0,0
4.11,1577264209352,0,0,0
4.2,1577264209803,0,0,0
4.29,1577264210252,0,0,0
4.41,1577264210702,0,0,0
4.56,1577264211152,0,0,0
5.13,1577264211603,0,0,0
5.13,1577264212052,0,0,0
4.83,1577264212503,0,0,0
6.48,1577264212942,0,0,0
6.18,1577264213403,0,0,0
6.06,1577264213852,0,0,0
6.45,1577264214302,0,0,0
6.42,1577264214752,0,0,0
6.15,1577264215203,0,0,0
5.79,1577264215652,0,0,0
5.73,1577264216102,0,0,0
5.73,1577264216552,0,0,0
5.73,1577264217002,0,0,0
5.73,1577264217452,0,0,0
5.73,1577264217902,0,0,0
5.73,1577264218352,0,0,0
5.73,1577264218802,0,0,0
5.73,1577264219252,0,0,0
5.73,1577264219702,0,0,0
5.7,1577264220152,0,0,0
5.7,1577264220602,0,0,0
5.7,1577264221052,0,0,0
5.7,1577264221502,0,0,0
5.7,1577264221942,0,0,0
5.67,1577264222392,0,0,0
5.67,1577264222842,0,0,0
5.67,1577264223292,0,0,0
5.67,1577264223742,0,0,0
5.67,1577264224192,0,0,0
5.67,1577264224642,0,0,0
5.7,1577264225082,0,0,0
5.76,1577264225532,0,0,0
5.76,1577264225982,0,0,0
5.73,1577264226432,0,0,0
5.67,1577264226882,0,0,0
5.64,1577264227332,0,0,0
5.64,1577264227782,0,0,0
5.64,1577264228222,0,0,0
5.61,1577264228672,0,0,0
5.61,1577264229122,0,0,0
5.61,1577264229572,0,0,0
5.61,1577264230022,0,0,0
5.61,1577264230472,0,0,0
5.61,1577264230922,0,0,0
5.46,1577264231372,0,0,0
3.15,1577264231822,0,0,0
0.0,1577264232272,0,0,0
0.09,1577264232722,0,0,0
0.15,1577264233172,-1,0,0
0.15,1577264233622,-1,0,0
0.3,1577264234072,-1,0,0
0.33,1577264234522,-1,0,0
0.18,1577264234972,-1,0,0
0.03,1577264235422,-1,0,0
0.09,1577264235872,-1,0,0
0.18,1577264236322,-1,0,0
0.21,1577264236772,-1,0,0
0.21,1577264237222,-1,0,0
0.27,1577264237672,-1,0,0
0.33,1577264238122,-1,0,0
0.33,1577264238572,-1,0,0
0.36,1577264239022,-1,0,0
0.36,1577264239472,-1,0,0
0.3,1577264239922,-1,0,0
0.0,1577264240372,-1,0,0
0.0,1577264240822,-1,0,0
0.06,1577264241272,-1,0,0
0.09,1577264241722,-1,0,0
0.12,1577264242172,1,0,0
0.15,1577264242622,1,0,0
0.18,1577264243072,1,0,0
0.18,1577264243522,1,0,0
0.21,1577264243972,1,0,0
0.24,1577264244422,1,0,0
0.21,1577264244872,1,0,0
0.21,1577264245322,2,0,0
0.24,1577264245772,2,0,0
0.24,1577264246222,2,0,0
0.27,1577264246672,2,0,0
0.3,1577264247122,2,0,0
0.27,1577264247572,2,0,0
0.27,1577264248022,2,0,0
0.27,1577264248472,2,0,0
0.27,1577264248922,2,0,0
0.3,1577264249372,3,0,0
0.0,1577264249822,3,0,0
0.0,1577264250272,3,0,0
0.03,1577264250722,3,0,0
0.06,1577264251172,3,0,0
0.15,1577264251622,3,0,0
0.0,1577264252072,3,0,0
0.0,1577264252522,3,0,0
0.0,1577264252972,3,0,0
0.0,1577264253422,3,0,0
0.0,1577264253872,3,0,0
0.0,1577264254322,3,0,0
0.0,1577264254772,3,0,0
0.0,1577264255222,3,0,0
0.0,1577264255672,1,0,0
0.0,1577264256122,1,0,0
0.0,1577264256572,1,0,0
0.0,1577264257022,1,0,0
0.0,1577264257472,1,0,0
0.0,1577264257922,1,0,0
0.0,1577264258372,1,0,0
0.0,1577264258822,1,0,0
0.0,1577264259272,1,0,0
0.0,1577264259722,1,0,0
0.0,1577264260172,1,0,0
0.0,1577264260622,1,0,0
0.0,1577264261072,1,0,0
0.0,1577264261522,1,0,0
0.0,1577264261972,1,0,0
0.21,1577264262422,1,0,0
0.33,1577264262872,1,0,0
0.48,1577264263322,1,0,0
0.57,1577264263772,1,0,0
0.36,1577264264222,1,0,0
0.81,1577264264672,1,0,0
0.27,1577264265122,1,0,0
0.09,1577264265572,1,0,0
0.48,1577264266022,1,0,0
0.54,1577264266472,3,0,0
0.48,1577264266922,3,0,0
